period,portfolio_return,cumulative_net_return,drawdown
2021-10-15,0.00324211,21.69226537,-0.18464507
2021-10-18,0.00253687,21.69480225,-0.18210819
2021-10-19,-0.00294586,21.69185638,-0.18505406
2021-10-20,0.0007421,21.69259849,-0.18431195
2021-10-21,-0.00166949,21.690929,-0.18598144
2021-10-22,-0.00868813,21.68224086,-0.19466958
2021-10-25,-0.00079666,21.6814442,-0.19546624
2021-10-26,-0.00668801,21.67475619,-0.20215425
2021-10-27,-0.02954059,21.6452156,-0.23169484
2021-10-28,-0.0029159,21.6422997,-0.23461074
2021-10-29,-0.01133265,21.63096705,-0.24594339
2021-11-01,-0.05811019,21.57285686,-0.30405358
2021-11-02,-0.04392529,21.52893157,-0.34797887
2021-11-03,-0.0313786,21.49755297,-0.37935747
2021-11-04,-0.08006011,21.41749286,-0.45941758
2021-11-05,-0.05098658,21.36650627,-0.51040416
2021-11-08,-0.09256041,21.27394586,-0.60296458
2021-11-09,-0.07856689,21.19537897,-0.68153147
2021-11-10,-0.02039537,21.1749836,-0.70192684
2021-11-11,-0.01587383,21.15910977,-0.71780067
2021-11-12,-0.00727169,21.15183808,-0.72507236
2021-11-15,-0.0051195,21.14671857,-0.73019187
2021-11-16,-0.00467546,21.14204311,-0.73486733
2021-11-17,-0.003886,21.13815711,-0.73875332
2021-11-18,-0.09317532,21.0449818,-0.83192864
2021-11-19,-0.02501258,21.01996922,-0.85694122
2021-11-22,-0.01914496,21.00082426,-0.87608618
2021-11-23,-0.00735482,20.99346944,-0.883441
2021-11-24,-0.0074582,20.98601123,-0.89089921
2021-11-26,0.00262505,20.98863629,-0.88827415
2021-11-29,-0.01728905,20.97134724,-0.9055632
2021-11-30,-0.00310272,20.96824451,-0.90866592
2021-12-01,-0.04581107,20.92243345,-0.95447699
2021-12-02,-0.00595148,20.91648196,-0.96042848
2021-12-03,0.0022744,20.91875636,-0.95815408
2021-12-06,-0.00654759,20.91220877,-0.96470167
2021-12-07,-0.00074573,20.91146304,-0.9654474
2021-12-08,-0.00486162,20.90660142,-0.97030902
2021-12-09,-0.00461241,20.901989,-0.97492144
2021-12-10,-0.0063592,20.8956298,-0.98128063
2021-12-13,-0.00709212,20.88853769,-0.98837275
2021-12-14,-0.00525897,20.88327872,-0.99363172
2021-12-15,-0.00421064,20.87906808,-0.99784235
2021-12-16,-0.00044495,20.87862313,-0.99828731
2021-12-17,-0.03129688,20.84732625,-1.02958419
2021-12-20,-0.00211624,20.84521001,-1.03170043
2021-12-21,-0.00051314,20.84469687,-1.03221357
2021-12-22,-0.000532,20.84416487,-1.03274557
2021-12-23,-0.00047006,20.84369481,-1.03321563
2021-12-27,-0.00500734,20.83868747,-1.03822297
2021-12-28,0.0040408,20.84272826,-1.03418217
2021-12-29,0.00212968,20.84485794,-1.0320525
2021-12-30,0.00248571,20.84734365,-1.02956679
2021-12-31,-0.00067874,20.84666491,-1.03024553
2022-01-03,-0.1005811,20.74608381,-1.13082663
2022-01-04,-0.02279238,20.72329143,-1.15361901
2022-01-05,-0.23347198,20.48981944,-1.38709099
2022-01-06,-0.04043879,20.44938065,-1.42752979
2022-01-07,-0.06271781,20.38666284,-1.4902476
2022-01-10,-0.04959581,20.33706703,-1.53984341
2022-01-11,-0.00754303,20.329524,-1.54738644
2022-01-12,-0.00550614,20.32401786,-1.55289258
2022-01-13,-0.03681947,20.28719839,-1.58971205
2022-01-14,6.701e-05,20.2872654,-1.58964503
2022-01-18,-0.01658651,20.27067889,-1.60623154
2022-01-19,-0.01821314,20.25246575,-1.62444468
