left_component_id,right_component_id,left_strategy,right_strategy,correlation
FACTORY-d6e26b4dde83c8b0,FACTORY-fcc65b33bba2a984,Factory PEAD 45d 100bps,Factory PEAD 90d 100bps,0.81648247
FACTORY-5362cd2ae855e220,FACTORY-6ee5b751639cff9d,Factory Regime Filter 5d 100bps,Factory Regime Filter 5d 375bps,0.81629633
FACTORY-1399577a8d1d5dca,FACTORY-cc3e48f7613e805e,Factory Regime Filter 90d 375bps,Factory Regime Filter 180d 500bps,0.81628522
FACTORY-5ef159f89339a4f8,FACTORY-a26c47e6385e2c63,Factory Regime Filter 90d 500bps,Factory Regime Filter 180d 100bps,0.81510843
FACTORY-5ef159f89339a4f8,FACTORY-f084a7400225c73b,Factory Regime Filter 90d 500bps,Factory Regime Filter 180d 375bps,0.81503709
FACTORY-45ebfdbb131f6cbd,FACTORY-809ae08874ff229c,Factory Custom Rule Builder 45d 375bps,Factory Custom Rule Builder 90d 100bps,0.81483923
FACTORY-5ef159f89339a4f8,FACTORY-cc3e48f7613e805e,Factory Regime Filter 90d 500bps,Factory Regime Filter 180d 500bps,0.81471848
FACTORY-37370ef762fec428,FACTORY-036709cbb90245e8,Factory PDUFA Run-Up 45d 100bps,Factory Custom Rule Builder 45d 500bps,0.81331711
FACTORY-84018bc09d7b34aa,FACTORY-036709cbb90245e8,Factory PDUFA Run-Up 45d 375bps,Factory Custom Rule Builder 45d 500bps,0.81325371
FACTORY-37370ef762fec428,FACTORY-45ebfdbb131f6cbd,Factory PDUFA Run-Up 45d 100bps,Factory Custom Rule Builder 45d 375bps,0.8131809
FACTORY-8c126ce3235c7b20,FACTORY-036709cbb90245e8,Factory PDUFA Run-Up 45d 500bps,Factory Custom Rule Builder 45d 500bps,0.81316092
FACTORY-84018bc09d7b34aa,FACTORY-45ebfdbb131f6cbd,Factory PDUFA Run-Up 45d 375bps,Factory Custom Rule Builder 45d 375bps,0.8130346
FACTORY-45ebfdbb131f6cbd,FACTORY-8c126ce3235c7b20,Factory Custom Rule Builder 45d 375bps,Factory PDUFA Run-Up 45d 500bps,0.8129038
FACTORY-37370ef762fec428,FACTORY-2306e8d8b69f7be8,Factory PDUFA Run-Up 45d 100bps,Factory Custom Rule Builder 45d 100bps,0.81142668
FACTORY-2306e8d8b69f7be8,FACTORY-84018bc09d7b34aa,Factory Custom Rule Builder 45d 100bps,Factory PDUFA Run-Up 45d 375bps,0.81110005
FACTORY-a48667d59c0341c7,FACTORY-91da581313704e54,Factory Regime Filter 20d 100bps,Factory Regime Filter 45d 100bps,0.81091471
FACTORY-2306e8d8b69f7be8,FACTORY-8c126ce3235c7b20,Factory Custom Rule Builder 45d 100bps,Factory PDUFA Run-Up 45d 500bps,0.81088668
FACTORY-663f068161cceb04,FACTORY-06b51d2083257b36,Factory Mean Reversion 90d 375bps,Factory Mean Reversion 180d 500bps,0.80932922
FACTORY-5ac7948ae3836df9,FACTORY-5fcd77f2c0517c34,Factory PEAD 45d 375bps,Factory PEAD 90d 500bps,0.80859838
FACTORY-663f068161cceb04,FACTORY-e021ad4521158745,Factory Mean Reversion 90d 375bps,Factory Mean Reversion 180d 375bps,0.80775315
FACTORY-5ac7948ae3836df9,FACTORY-8c7853c5ae904d13,Factory PEAD 45d 375bps,Factory PEAD 90d 375bps,0.80622867
FACTORY-44336afe577baf16,FACTORY-80a6a5b9f8587535,Factory Dollar-Bar Microstructure 90d 100bps,Factory Dollar-Bar Microstructure 180d 500bps,0.80613584
FACTORY-44336afe577baf16,FACTORY-6965d33db9c8fb5b,Factory Dollar-Bar Microstructure 90d 100bps,Factory Dollar-Bar Microstructure 180d 375bps,0.8058534
FACTORY-3e07023d857a2656,FACTORY-9424b27321e327f5,Factory Regime Filter 20d 375bps,Factory Regime Filter 45d 500bps,0.80545484
FACTORY-30088dc93bd4a178,FACTORY-187d8d55eeef6a10,Factory Form 4 Cluster Buying 45d 100bps,Factory Form 4 Cluster Buying 90d 500bps,0.80539845
FACTORY-17d25540b5e54179,FACTORY-214e36d619e8364b,Factory Mean Reversion 20d 500bps,Factory Mean Reversion 20d 500bps,0.8053744
FACTORY-036709cbb90245e8,FACTORY-809ae08874ff229c,Factory Custom Rule Builder 45d 500bps,Factory Custom Rule Builder 90d 100bps,0.80537363
FACTORY-3b82ee277a85c752,FACTORY-778a7498ad44efbb,Factory 13D Activist Follow-On 90d 100bps,Factory 13D Activist Follow-On 180d 100bps,0.80523405
