component_id,strategy_name,template,decision,sleeve,weight
FACTORY-e166b064509b48f3,Factory LowVol Tradability 45d 500bps,LowVol Tradability,REJECTED_OUTLIER_DEPENDENCY,core,0.00652174
FACTORY-7a0b6cc0e47e9913,Factory Dollar-Bar Microstructure 45d 500bps,Dollar-Bar Microstructure,REJECTED_OUTLIER_DEPENDENCY,tactical,0.0020202
FACTORY-9424b27321e327f5,Factory Regime Filter 45d 500bps,Regime Filter,REJECTED_OUTLIER_DEPENDENCY,core,0.00652174
FACTORY-8c126ce3235c7b20,Factory PDUFA Run-Up 45d 500bps,PDUFA Run-Up,INVESTMENT_RESEARCH_CANDIDATE_ONLY,convex,0.00186916
FACTORY-5b404f42d9bf8050,Factory 13D Activist Follow-On 45d 500bps,13D Activist Follow-On,REJECTED_OUTLIER_DEPENDENCY,convex,0.00186916
FACTORY-036709cbb90245e8,Factory Custom Rule Builder 45d 500bps,Custom Rule Builder,REJECTED_OUTLIER_DEPENDENCY,tactical,0.0020202
FACTORY-8d1b34609a4f06c7,Factory 9:30 AM ORB 45d 500bps,9:30 AM ORB,REJECTED_OUTLIER_DEPENDENCY,tactical,0.0020202
FACTORY-4374f4a63472e9d1,Factory Momentum 90d 100bps,Momentum,INVESTMENT_RESEARCH_CANDIDATE_ONLY,tactical,0.0020202
FACTORY-2ed1639d36c6b44c,Factory Mean Reversion 90d 100bps,Mean Reversion,INVESTMENT_RESEARCH_CANDIDATE_ONLY,core,0.00652174
FACTORY-7d7fc107faf661dc,Factory Catalyst 90d 100bps,Catalyst,INVESTMENT_RESEARCH_CANDIDATE_ONLY,convex,0.00186916
FACTORY-fcc65b33bba2a984,Factory PEAD 90d 100bps,PEAD,INVESTMENT_RESEARCH_CANDIDATE_ONLY,core,0.00652174
FACTORY-2fdf6c07a3bcb68d,Factory Form 4 Cluster Buying 90d 100bps,Form 4 Cluster Buying,REJECTED_OUTLIER_DEPENDENCY,convex,0.00186916
FACTORY-bda4a6a967022002,Factory LowVol Tradability 90d 100bps,LowVol Tradability,REJECTED_OUTLIER_DEPENDENCY,core,0.00652174
FACTORY-44336afe577baf16,Factory Dollar-Bar Microstructure 90d 100bps,Dollar-Bar Microstructure,INVESTMENT_RESEARCH_CANDIDATE_ONLY,tactical,0.0020202
FACTORY-1ae9c3303191d694,Factory Regime Filter 90d 100bps,Regime Filter,INVESTMENT_RESEARCH_CANDIDATE_ONLY,core,0.00652174
FACTORY-3a4646fedbd66e5c,Factory PDUFA Run-Up 90d 100bps,PDUFA Run-Up,INVESTMENT_RESEARCH_CANDIDATE_ONLY,convex,0.00186916
FACTORY-3b82ee277a85c752,Factory 13D Activist Follow-On 90d 100bps,13D Activist Follow-On,INVESTMENT_RESEARCH_CANDIDATE_ONLY,convex,0.00186916
FACTORY-809ae08874ff229c,Factory Custom Rule Builder 90d 100bps,Custom Rule Builder,INVESTMENT_RESEARCH_CANDIDATE_ONLY,tactical,0.0020202
FACTORY-58fde2142f9a24a0,Factory 9:30 AM ORB 90d 100bps,9:30 AM ORB,INVESTMENT_RESEARCH_CANDIDATE_ONLY,tactical,0.0020202
FACTORY-8f8cac315a45ff9e,Factory Momentum 90d 375bps,Momentum,INVESTMENT_RESEARCH_CANDIDATE_ONLY,tactical,0.0020202
FACTORY-663f068161cceb04,Factory Mean Reversion 90d 375bps,Mean Reversion,INVESTMENT_RESEARCH_CANDIDATE_ONLY,core,0.00652174
FACTORY-dbcae1b95fd38612,Factory Catalyst 90d 375bps,Catalyst,INVESTMENT_RESEARCH_CANDIDATE_ONLY,convex,0.00186916
FACTORY-8c7853c5ae904d13,Factory PEAD 90d 375bps,PEAD,INVESTMENT_RESEARCH_CANDIDATE_ONLY,core,0.00652174
FACTORY-f3a11def315430dd,Factory Form 4 Cluster Buying 90d 375bps,Form 4 Cluster Buying,REJECTED_OUTLIER_DEPENDENCY,convex,0.00186916
FACTORY-919303c9f4bda3a1,Factory LowVol Tradability 90d 375bps,LowVol Tradability,REJECTED_OUTLIER_DEPENDENCY,core,0.00652174
FACTORY-8226fabb047803a9,Factory Dollar-Bar Microstructure 90d 375bps,Dollar-Bar Microstructure,REJECTED_OUTLIER_DEPENDENCY,tactical,0.0020202
FACTORY-1399577a8d1d5dca,Factory Regime Filter 90d 375bps,Regime Filter,INVESTMENT_RESEARCH_CANDIDATE_ONLY,core,0.00652174
FACTORY-9e5b3dc1b0a6b383,Factory PDUFA Run-Up 90d 375bps,PDUFA Run-Up,INVESTMENT_RESEARCH_CANDIDATE_ONLY,convex,0.00186916
FACTORY-25beb93c5b115751,Factory 13D Activist Follow-On 90d 375bps,13D Activist Follow-On,INVESTMENT_RESEARCH_CANDIDATE_ONLY,convex,0.00186916
FACTORY-f9ae921135d93340,Factory Custom Rule Builder 90d 375bps,Custom Rule Builder,INVESTMENT_RESEARCH_CANDIDATE_ONLY,tactical,0.0020202
FACTORY-1e6fb3ffd92f62a9,Factory 9:30 AM ORB 90d 375bps,9:30 AM ORB,INVESTMENT_RESEARCH_CANDIDATE_ONLY,tactical,0.0020202
FACTORY-07d58dc6d8516cd2,Factory Momentum 90d 500bps,Momentum,INVESTMENT_RESEARCH_CANDIDATE_ONLY,tactical,0.0020202
FACTORY-dc41e4a737562d2c,Factory Mean Reversion 90d 500bps,Mean Reversion,INVESTMENT_RESEARCH_CANDIDATE_ONLY,core,0.00652174
FACTORY-27bfb999b143a3bf,Factory Catalyst 90d 500bps,Catalyst,INVESTMENT_RESEARCH_CANDIDATE_ONLY,convex,0.00186916
FACTORY-5fcd77f2c0517c34,Factory PEAD 90d 500bps,PEAD,INVESTMENT_RESEARCH_CANDIDATE_ONLY,core,0.00652174
FACTORY-187d8d55eeef6a10,Factory Form 4 Cluster Buying 90d 500bps,Form 4 Cluster Buying,REJECTED_OUTLIER_DEPENDENCY,convex,0.00186916
FACTORY-0c7844dc82468698,Factory LowVol Tradability 90d 500bps,LowVol Tradability,REJECTED_OUTLIER_DEPENDENCY,core,0.00652174
FACTORY-2860db9797152544,Factory Dollar-Bar Microstructure 90d 500bps,Dollar-Bar Microstructure,REJECTED_OUTLIER_DEPENDENCY,tactical,0.0020202
FACTORY-5ef159f89339a4f8,Factory Regime Filter 90d 500bps,Regime Filter,INVESTMENT_RESEARCH_CANDIDATE_ONLY,core,0.00652174
FACTORY-cd77d4a8eb310124,Factory PDUFA Run-Up 90d 500bps,PDUFA Run-Up,INVESTMENT_RESEARCH_CANDIDATE_ONLY,convex,0.00186916
FACTORY-941cc6d3fdd9affc,Factory 13D Activist Follow-On 90d 500bps,13D Activist Follow-On,INVESTMENT_RESEARCH_CANDIDATE_ONLY,convex,0.00186916
FACTORY-c43a6563b2178d23,Factory Custom Rule Builder 90d 500bps,Custom Rule Builder,INVESTMENT_RESEARCH_CANDIDATE_ONLY,tactical,0.0020202
FACTORY-5fbad472b1879679,Factory 9:30 AM ORB 90d 500bps,9:30 AM ORB,INVESTMENT_RESEARCH_CANDIDATE_ONLY,tactical,0.0020202
