component_id,aeb3c97678fffc03,bcfc1ff3b7cf8a4a,9c7fb1982851f609,f884aeb8a0a20815,a37a53c4e1fce137,dcfbeec9cf4c5190,ef3f1ebb21d03d5c,292441755c5ffdcc,7d30471f7325a2a8,f173207ae9bd5ccd,0dc08daefa67c12e,ee5692c4832db94b,91510d8163e121fc,2496e35863212c76,208d36ae3c31f890,8bf949936eddd596,e8cde4045a54b14a,64880f270f8f6861,913c67d63ee5a478,28a0d94ccf2a6c08,e0008aaebb2fda63,680166d42265ad55,816022f1cffa8310,f8e4773a916f0f75,fda6a92d0fdc1a1d,fad9ff0f91ecab15,2902e60324bd4c13,23ff266a203fea0d,bec60afef14416c2,a0cc249592a067f4,acc065823d9dcfb7,4087717bb62f6610,0b596d1ce6d258c0,bc79985845236f4a,6b50c641a4eaf53e,bfe638853ce4a153,409ca5c54a3efce7,eeb44b96bbac9604,dd95aab5d08306e1,6a116a4eef3afb73
e0008aaebb2fda63,0.04748369105543082,0.025930626065998368,0.0807681482507733,1.0,0.044651213927624056,0.00883976493854974,0.04748369105543082,0.015609376898110986,-0.006490613023476301,0.006698055423901643,0.36298474880283566,0.04748369105543082,0.014086910138934984,0.04720515869836537,0.017133168134481545,0.0011307899343283416,0.007468267387725507,0.006730054524252191,0.044651213927624056,0.05829759323844895,1.0,0.0035860275995876784,0.03989101399304674,-0.006490613023476301,-0.002293670974233848,0.019525607113892517,-0.010809998563681948,0.0007567845753928609,0.014081015166077664,0.019084091026506322,0.02237992140204731,0.012887684052462059,0.01594855355925884,0.039942699866779716,0.004940236710040221,0.02888838226395395,0.003001031358482101,-0.00483969068373066,0.08281408228517656,0.05305526174464489
680166d42265ad55,0.42172800672819377,0.4643862987445857,0.019040328062575034,0.0035860275995876784,0.08126157496508524,0.2514416634613433,0.42172800672819377,0.40118214076055125,0.0037281045736914384,0.1400910898626173,0.3051966222336537,0.42172800672819377,0.03808032518050277,0.059964384761918586,0.03285036662008894,0.039858834733398796,0.03292192744620932,0.03819223626177573,0.08126157496508524,-0.010318710702708853,0.0035860275995876784,1.0,0.04265382928077212,0.003728104573691438,-0.017907209628868246,0.018858057003667827,-0.06083247551826261,0.010080453599865343,0.005430998511605918,-0.022767503642574818,-0.014026180395207245,-0.0025014762489909037,0.09220870474139131,0.005280641519488159,0.0018256196009006824,0.4508245851410642,0.28549693375670654,-0.00014688034200169953,0.06331258615996972,0.00280370047438875
816022f1cffa8310,0.04616025040402395,0.2089618581003808,0.1642386288668476,0.03989101399304674,0.021236627830707705,0.2092748609218865,0.04616025040402395,0.021499240874745137,-0.009602746246600836,0.061869630786738454,0.05830011950647654,0.04616025040402395,0.15398331799800033,0.18539605697864003,0.03087302377143151,0.03157876382555517,0.030795949874233168,0.02963452742114876,0.021236627830707705,-0.027899728706390178,0.03989101399304674,0.04265382928077212,1.0,-0.009602746246600827,-0.020780271075906274,0.07362766163584912,0.020913429930726986,-0.016292462205379717,0.000775417443838149,-0.021905693046184053,-0.031711055263116524,0.0072674665229810155,0.02053846442744079,0.0011662572960283427,-0.02595557001214852,0.015788453363811374,0.015362368755051096,-0.0022383079573282177,0.04132028994633274,-0.051541550884830395
f8e4773a916f0f75,-0.043966577981052454,-0.011949033442824733,-0.023136838514214636,-0.006490613023476301,0.047328512735258586,-0.01629539629906253,-0.043966577981052454,-0.01987309597520472,1.0,-0.008293181465862685,-0.03349365415206053,-0.043966577981052454,-0.012280255422877707,-0.02390488822675306,0.03750951685412972,0.016145145306929756,-0.004676154036396145,-0.005470099728333899,0.047328512735258586,0.010411800316028836,-0.006490613023476301,0.003728104573691438,-0.009602746246600827,1.0,-0.03053302299311792,0.01855895286510193,-0.012830698404660269,0.0005262736686877234,0.015832632221882408,-0.01152957965244766,-0.0059826949214594576,-0.005186375092978181,0.008062761966604307,0.12202043702372721,0.24501135986122718,-0.009764345458612305,0.000872808974315392,0.0043921731212567825,-0.01132973938799391,-0.008153890590110048
fda6a92d0fdc1a1d,-0.009052706089681182,-0.08049792927309916,-0.03444414739227663,-0.002293670974233848,-0.20791977735944756,-0.0660879957417333,-0.009052706089681182,-0.019205770544993162,-0.03053302299311792,-0.04258841082269018,-0.04390883547787879,-0.009052706089681182,-0.03050142049345404,-0.026494053486262294,-0.2818154466572713,0.00998805244684169,0.020003970282255812,0.01925164544843123,-0.20791977735944756,0.009007845157975418,-0.002293670974233848,-0.017907209628868246,-0.020780271075906274,-0.03053302299311792,1.0,-0.0007152410411516754,0.08142272363737722,0.037255444739622015,0.0617171460601633,0.03256686990983241,0.014080898248930386,0.04910174103812309,0.1314967984330265,0.17014115876777594,0.03536614511824996,-0.01594813654426009,-0.012782617020375921,0.002139855373057152,0.05821917475996127,0.02430069205393562
fad9ff0f91ecab15,-0.012923073584381592,-0.00811117279259636,0.0063730279214248625,0.019525607113892517,0.005716836094623371,-0.0190355490345015,-0.012923073584381592,0.00964330864696819,0.01855895286510193,-0.025599643299141862,0.0019465142902658085,-0.012923073584381592,0.04872160383335584,0.03136907266809814,-0.019319194035579884,-0.02321222114281581,0.007317749598663844,0.014131998904589082,0.005716836094623371,0.007997617287648513,0.019525607113892517,0.018858057003667827,0.07362766163584912,0.01855895286510193,-0.0007152410411516754,1.0,0.02760143275004568,0.02462026041887886,0.012105356952801625,0.015351110431329685,0.05678905739541427,0.010053385169796368,-0.04280990058610706,-0.004217984997323138,0.008563680359738951,-0.009725768316300407,0.01040900664327378,-0.0006734498436452515,0.03740685851691523,0.03560358610985192
2902e60324bd4c13,0.01721511799542878,0.10549184572136906,0.002490845800137623,-0.010809998563681948,0.02605390102923552,0.11129007107476666,0.01721511799542878,-0.0004898890784162841,-0.012830698404660269,-0.027343391395871185,0.011342294609170767,0.01721511799542878,0.04858198286623967,-0.013097605041585348,0.031180445444939198,-0.04486701232119636,-0.030458649914245742,-0.029978359224220673,0.02605390102923552,-0.00022666021860885866,-0.010809998563681948,-0.06083247551826261,0.020913429930726986,-0.012830698404660269,0.08142272363737722,0.02760143275004568,1.0,-0.0014911823643024178,-0.008755852687033258,0.0007836912928873259,-0.05058064011052614,-0.006225430425838472,0.22310307678730243,0.03188942327330374,-0.020602273621162234,-0.0002113776167019578,0.026390320220790624,0.014012142244187707,0.030341198823293905,0.009509637772796994
23ff266a203fea0d,-0.0030179335161648582,-0.06138693457838117,-0.0033128798829411433,0.0007567845753928609,-0.036073085591666935,-0.07620213147192657,-0.0030179335161648582,0.0030721425605896063,0.0005262736686877234,-0.0469555394030522,0.027392377674195188,-0.0030179335161648582,-0.03337257381205172,-0.006127709165426591,-0.04860265017647725,-0.01050693968230951,-0.0020601982050078836,-0.003329712177630088,-0.036073085591666935,0.027196362364461452,0.0007567845753928609,0.010080453599865343,-0.016292462205379717,0.0005262736686877234,0.037255444739622015,0.02462026041887886,-0.0014911823643024178,1.0,0.028011119649010784,-0.006106005052059353,0.10084432790418135,0.01103683646797535,0.008995951015557247,-0.020252227439483152,-0.0042680591739561215,-0.002062739800317257,0.0029918271819419904,0.023567843133316654,0.0047674253932505645,0.005259564071273061
bec60afef14416c2,-0.010525330998390658,-0.02589986982541932,-0.015832706060548103,0.014081015166077664,0.05040096886631796,-0.03874099321761328,-0.010525330998390658,-0.014129373901049869,0.015832632221882408,-0.006223591704608312,0.020306981423753576,-0.010525330998390658,-0.014090233796615574,-0.014401736359506223,0.014833937815810268,-0.010882259055458289,-0.0058053375104096,-0.00186058246068177,0.05040096886631796,0.00612057706675701,0.014081015166077664,0.005430998511605918,0.000775417443838149,0.015832632221882408,0.0617171460601633,0.012105356952801625,-0.008755852687033258,0.028011119649010784,1.0,0.09435852127746579,0.10665091866386113,0.525208841602709,0.01749472430866978,0.023210808729596057,0.01631850535032269,-0.011177152916236254,0.01453082549030906,0.0011349195139874026,0.03827221756011364,0.09004981853759361
a0cc249592a067f4,0.0073674415052598285,-0.047095771990516316,-0.04605611140156181,0.019084091026506322,0.04791303966865972,-0.05869846532441755,0.0073674415052598285,-0.018636402063944495,-0.01152957965244766,-0.04342118015485957,0.012726370128144007,0.0073674415052598285,-0.0048966976178570236,-0.032188478328417834,0.005692051125456352,-0.011624813578579436,-0.010800064247229627,-0.00743760637408476,0.04791303966865972,0.02431193352026654,0.019084091026506322,-0.022767503642574818,-0.021905693046184053,-0.01152957965244766,0.03256686990983241,0.015351110431329685,0.0007836912928873259,-0.006106005052059353,0.09435852127746579,1.0,0.05514199042548696,0.5819700438185545,-0.06484543134738527,-0.005096332249648496,0.00936285774864256,-0.006242712230997163,-0.01046813612890581,0.002791915908227825,0.09578676770293928,0.19903554010162475
