period,drawdown
2021-09-22,-0.00094255
2021-09-24,-0.00217675
2021-09-27,-0.00383827
2021-10-08,-0.00027384
2021-10-20,0.0
2021-10-21,-0.00063382
2021-10-25,0.0
2021-10-26,0.0
2021-10-27,0.0
2021-10-28,-0.00358524
2021-11-02,-0.00410676
2021-11-03,-0.01115916
2021-11-09,-0.00927707
2021-11-10,-0.01701862
2021-11-11,-0.01832001
2021-11-22,0.0
2021-11-23,0.0
2021-11-24,0.0
2021-11-26,0.0
2021-11-29,-0.00028565
2021-11-30,-0.00387707
2021-12-01,-0.01191025
2021-12-02,-0.01559605
2021-12-03,0.0
2021-12-06,0.0
2021-12-07,-0.00410911
2021-12-08,-0.00848932
2021-12-09,-0.02238237
2021-12-10,-0.01273174
2021-12-13,-0.02022926
2021-12-14,-0.02278878
2021-12-15,-0.02362514
2021-12-16,-0.02621634
2021-12-20,-0.03854034
2021-12-21,-0.04448878
2021-12-22,-0.0476033
2021-12-23,-0.05034069
2021-12-27,-0.05276226
2021-12-28,-0.01645937
2021-12-29,0.0
2021-12-30,0.0
2021-12-31,-0.00624444
2022-01-03,-0.00871412
2022-01-05,-0.00792596
2022-01-07,-0.00949351
2022-01-10,-0.01098944
2022-01-11,-0.01361363
2022-01-12,-0.01481822
2022-01-13,-0.01628354
2022-01-14,-0.01827756
2022-01-19,-0.0360786
2022-01-20,-0.04253952
2022-01-21,-0.05256132
2022-01-27,-0.08592456
2022-01-28,-0.10811028
2022-01-31,-0.12575052
2022-02-02,-0.14329281
2022-02-03,-0.16084908
2022-02-04,-0.29607997
2022-02-07,-0.3129633
2022-02-08,-0.33722751
2022-02-09,-0.32619652
2022-02-10,-0.3272216
2022-02-11,-0.33215246
2022-02-14,-0.34855354
2022-02-16,-0.36339843
2022-02-17,-0.35681748
2022-02-18,-0.36159374
2022-02-22,-0.39748854
2022-02-23,-0.400544
2022-02-24,-0.40806645
2022-02-25,-0.40991582
2022-02-28,-0.40027102
2022-03-01,-0.40464779
2022-03-02,-0.4053659
2022-03-03,-0.45246428
2022-03-04,-0.47941592
2022-03-07,-0.54614967
2022-03-08,-0.60755762
2022-03-09,-0.61293033
2022-03-10,-0.63771472
2022-03-11,-0.68771062
2022-03-14,-0.72143027
2022-03-15,-0.81153196
2022-03-16,-0.84618695
2022-03-17,-0.85775392
2022-03-18,-0.88881598
2022-03-21,-0.9147511
2022-03-22,-0.91820098
2022-03-23,-0.93314367
2022-03-24,-0.87987522
2022-03-25,-0.86394755
2022-03-28,-0.8653086
2022-03-29,-0.85288209
2022-03-30,-0.87595272
2022-03-31,-0.8580933
2022-04-01,-0.85484899
2022-04-04,-0.85299757
2022-04-05,-0.76071331
2022-04-06,-0.71597518
2022-04-07,-0.72950741
2022-04-08,-0.75704226
2022-04-11,-0.82100258
2022-04-12,-0.80370694
2022-04-13,-0.80860656
2022-04-14,-0.84148389
2022-04-18,-0.85896474
2022-04-19,-0.89458739
2022-04-20,-0.91535094
2022-04-21,-0.9538304
2022-04-22,-1.02774713
2022-04-25,-1.09333868
2022-04-26,-1.14531102
2022-04-27,-1.2022216
2022-04-28,-1.24220882
2022-04-29,-1.27124197
2022-05-02,-1.35000786
2022-05-03,-1.39165038
2022-05-04,-1.40256674
2022-05-05,-1.41845533
2022-05-06,-1.62416734
2022-05-09,-1.74541915
2022-05-10,-1.77554184
2022-05-11,-1.84706244
2022-05-12,-1.90564481
2022-05-16,-2.00097602
2022-05-17,-2.02438982
2022-05-18,-2.03343312
2022-05-19,-2.03428152
2022-05-20,-2.09917332
2022-05-23,-2.20837103
2022-05-24,-2.22251077
2022-05-25,-2.26325787
2022-05-26,-2.36352506
2022-05-27,-2.3874512
2022-05-31,-2.39586293
2022-06-01,-2.45278912
2022-06-02,-2.49971655
2022-06-03,-2.52667275
2022-06-06,-2.59239005
2022-06-07,-2.68285473
2022-06-08,-2.63916827
2022-06-09,-2.54285547
2022-06-10,-2.48427884
2022-06-13,-2.55944188
2022-06-14,-2.62041696
2022-06-15,-2.88381181
2022-06-16,-3.18671538
2022-06-17,-3.3312336
2022-06-21,-3.57493376
2022-06-22,-3.90259868
2022-06-23,-4.32934282
2022-06-24,-4.63841004
2022-06-27,-4.86666
2022-06-28,-4.83849581
2022-06-29,-4.83708647
2022-06-30,-4.88543653
2022-07-01,-4.88664573
2022-07-05,-4.9605855
2022-07-06,-5.04307028
2022-07-07,-5.08158429
2022-07-08,-5.11668861
2022-07-11,-5.16860226
2022-07-12,-5.22439311
2022-07-13,-5.25994982
2022-07-14,-5.26361863
2022-07-15,-5.28507086
2022-07-18,-5.29075563
2022-07-19,-5.24621534
2022-07-20,-5.21870362
2022-07-21,-5.21594
2022-07-22,-5.22394386
2022-07-25,-5.2020081
2022-07-26,-5.17461394
2022-07-27,-5.18564161
2022-07-28,-5.18226026
2022-07-29,-5.1161811
2022-08-01,-5.12328104
2022-08-02,-5.1231326
2022-08-03,-5.14466523
2022-08-04,-5.13195335
2022-08-05,-5.1358272
2022-08-08,-5.13549781
2022-08-09,-5.06571491
2022-08-10,-4.93679954
2022-08-11,-4.88057148
2022-08-12,-4.87291152
2022-08-15,-4.86220126
2022-08-16,-4.82528047
2022-08-17,-4.79990839
2022-08-18,-4.6707347
2022-08-19,-4.56270957
2022-08-22,-4.55791987
2022-08-23,-4.42889021
2022-08-24,-4.32430839
2022-08-25,-4.26259054
2022-08-26,-4.14681052
2022-08-29,-4.10340555
2022-08-30,-4.07204769
2022-08-31,-4.23889492
2022-09-01,-4.24980587
2022-09-02,-4.2890056
2022-09-06,-4.41680797
2022-09-07,-4.45620109
2022-09-08,-4.50315186
2022-09-09,-4.57721404
2022-09-12,-4.58569701
2022-09-13,-4.63731923
2022-09-14,-4.66394053
2022-09-15,-4.80396073
2022-09-16,-4.85409007
2022-09-19,-4.85646681
2022-09-20,-4.88097127
2022-09-21,-5.11946019
2022-09-22,-5.22555616
2022-09-23,-5.28302346
2022-09-26,-5.31402212
2022-09-27,-5.35173651
2022-09-28,-5.59612806
2022-09-29,-5.65651563
2022-09-30,-5.73034919
2022-10-03,-5.84151599
2022-10-04,-5.90472296
2022-10-05,-5.91720459
2022-10-06,-5.92782325
2022-10-07,-5.9450619
2022-10-10,-5.98749734
2022-10-11,-5.97504162
2022-10-12,-6.15317055
2022-10-13,-6.42830191
2022-10-14,-6.4471202
2022-10-17,-6.53595733
2022-10-18,-6.56145028
2022-10-19,-6.57840911
2022-10-20,-6.59136464
2022-10-21,-6.64310985
2022-10-24,-6.77396244
2022-10-25,-6.79401241
2022-10-26,-6.77117215
2022-10-27,-6.75754416
2022-10-28,-6.71537509
2022-10-31,-6.78660222
2022-11-01,-6.85218581
2022-11-02,-7.01491617
2022-11-03,-7.11499332
2022-11-04,-7.13989148
2022-11-07,-7.23576626
2022-11-08,-7.31726806
2022-11-09,-7.43152444
2022-11-10,-7.3811163
2022-11-11,-7.39630616
2022-11-14,-7.28680457
2022-11-15,-7.26395758
2022-11-16,-7.06548035
2022-11-17,-6.88256053
2022-11-18,-6.75816363
2022-11-21,-6.67818945
2022-11-22,-6.58925469
2022-11-23,-6.51112154
2022-11-25,-6.41342412
2022-11-28,-6.40516756
2022-11-29,-6.33383652
2022-11-30,-6.13130073
2022-12-01,-6.07631245
2022-12-02,-5.99571259
2022-12-05,-5.75011026
2022-12-06,-5.76840651
2022-12-07,-5.6912484
2022-12-08,-5.68063494
2022-12-09,-5.50045015
2022-12-12,-5.40034996
2022-12-13,-5.38294252
2022-12-14,-5.29081908
2022-12-15,-5.27185258
2022-12-16,-5.26279362
2022-12-19,-5.21770178
2022-12-20,-5.23626116
2022-12-21,-5.22100389
2022-12-22,-5.17164074
2022-12-23,-5.21066774
2022-12-27,-5.21630048
2022-12-28,-5.20768572
2022-12-29,-5.15753898
2022-12-30,-4.98170557
2023-01-03,-4.91355306
2023-01-04,-4.8928461
2023-01-05,-4.80377384
2023-01-06,-4.80367602
2023-01-09,-4.61722448
2023-01-10,-4.57470668
2023-01-11,-4.44200024
2023-01-12,-4.41276394
2023-01-13,-3.89025088
2023-01-17,-3.84394626
2023-01-18,-3.83887738
2023-01-19,-3.84792327
2023-01-20,-3.75538347
2023-01-23,-3.72927356
2023-01-24,-3.71081753
2023-01-25,-3.33225206
2023-01-26,-2.84800088
2023-01-27,-2.21307466
2023-01-30,-2.13758122
2023-01-31,-2.09670716
2023-02-01,-2.00017895
2023-02-02,-1.65562275
2023-02-03,-1.57005238
2023-02-06,-1.5222109
2023-02-07,-1.45777895
2023-02-08,-1.10974066
2023-02-09,-1.07531092
2023-02-10,-1.09693784
2023-02-13,-1.0935394
2023-02-14,-1.01494688
2023-02-15,-0.89166859
