period,portfolio_return,cumulative_net_return,drawdown
2023-05-17,-0.0257894,14.8960784,-0.9966486
2023-05-18,-0.0259586,14.8701198,-1.0226072
2023-05-19,0.0061016,14.8762214,-1.0165056
2023-05-22,-0.007952,14.8682694,-1.0244576
2023-05-23,-0.0083572,14.8599122,-1.0328148
2023-05-25,0.0139436,14.8738558,-1.0188712
2023-05-31,-0.0313242,14.8425316,-1.0501954
2023-06-01,0.0451232,14.8876548,-1.0050722
2023-06-06,-0.019539,14.8681158,-1.0246112
2023-06-12,-0.0282092,14.8399066,-1.0528204
2023-06-14,0.025157,14.8650636,-1.0276634
2023-06-15,0.0218386,14.8869022,-1.0058248
2023-06-16,0.0240572,14.9109594,-0.9817676
2023-06-22,-0.00801,14.9029494,-0.9897776
2023-06-23,-0.0710272,14.8319222,-1.0608048
2023-06-26,0.041479,14.8734012,-1.0193258
2023-06-27,0.0170522,14.8904534,-1.0022736
2023-06-28,-0.0886868,14.8017666,-1.0909604
2023-06-29,-0.0502714,14.7514952,-1.1412318
2023-07-03,-0.0270988,14.7243964,-1.1683306
2023-07-05,-0.017928,14.7064684,-1.1862586
2023-07-06,-0.022745,14.6837234,-1.2090036
2023-07-07,-0.0260732,14.6576502,-1.2350768
2023-07-10,-0.018566,14.6390842,-1.2536428
2023-07-11,-0.02197,14.6171142,-1.2756128
2023-07-12,-0.022046,14.5950682,-1.2976588
2023-07-13,-0.009536,14.5855322,-1.3071948
2023-07-14,0.0176232,14.6031554,-1.2895716
2023-07-17,0.0325938,14.6357492,-1.2569778
2023-07-18,-0.0618376,14.5739116,-1.3188154
2023-07-20,0.0415482,14.6154598,-1.2772672
2023-07-26,-0.0525488,14.562911,-1.329816
2023-07-27,-0.0482294,14.5146816,-1.3780454
2023-07-28,0.0070316,14.5217132,-1.3710138
2023-07-31,0.0155102,14.5372234,-1.3555036
2023-08-04,0.0239878,14.5612112,-1.3315158
2023-09-14,0.03723,14.5984412,-1.2942858
2023-09-15,0.0533258,14.651767,-1.24096
2023-09-18,-0.0189314,14.6328356,-1.2598914
2023-09-19,-0.0280328,14.6048028,-1.2879242
2023-10-02,-0.038789,14.5660138,-1.3267132
2023-10-03,-0.0528916,14.5131222,-1.3796048
2023-10-04,-0.0494914,14.4636308,-1.4290962
2023-10-05,-0.0557724,14.4078584,-1.4848686
2023-10-13,-0.0718868,14.3359716,-1.5567554
2023-10-17,-0.0308,14.3051716,-1.5875554
2023-10-19,-0.129367,14.1758046,-1.7169224
2023-10-20,-0.0604762,14.1153284,-1.7773986
2023-11-01,-0.0382208,14.0771076,-1.8156194
2023-11-06,-0.0907832,13.9863244,-1.9064026
2023-11-16,-0.0577342,13.9285902,-1.9641368
2023-11-17,-0.0810836,13.8475066,-2.0452204
2023-11-29,-0.0192296,13.828277,-2.06445
2023-11-30,-0.0129914,13.8152856,-2.0774414
2023-12-07,-0.006931,13.8083546,-2.0843724
2023-12-08,0.0017884,13.810143,-2.082584
2023-12-11,0.0386732,13.8488162,-2.0439108
2023-12-19,0.0974804,13.9462966,-1.9464304
2023-12-20,0.098198,14.0444946,-1.8482324
2023-12-21,0.0886094,14.133104,-1.759623
2023-12-26,0.1013794,14.2344834,-1.6582436
2023-12-27,0.0539286,14.288412,-1.604315
2023-12-28,0.2636168,14.5520288,-1.3406982
2023-12-29,0.2254762,14.777505,-1.115222
2024-01-02,0.0546004,14.8321054,-1.0606216
2024-01-03,0.0867092,14.9188146,-0.9739124
2024-01-04,0.0721688,14.9909834,-0.9017436
2024-01-05,0.0604944,15.0514778,-0.8412492
2024-01-08,0.0867032,15.138181,-0.754546
2024-01-09,0.1710716,15.3092526,-0.5834744
2024-01-10,0.0840624,15.393315,-0.499412
2024-01-11,0.0818222,15.4751372,-0.4175898
2024-01-12,0.1441184,15.6192556,-0.2734714
2024-01-16,0.05,15.6692556,-0.2234714
2024-01-17,-0.0023376,15.666918,-0.225809
2024-01-18,-0.012298,15.65462,-0.238107
2024-01-19,-0.0235668,15.6310532,-0.2616738
2024-01-22,-0.0041102,15.626943,-0.265784
2024-01-23,-0.0494974,15.5774456,-0.3152814
2024-01-24,-0.0180706,15.559375,-0.333352
2024-01-25,-0.0290588,15.5303162,-0.3624108
2024-01-26,-0.0405648,15.4897514,-0.4029756
2024-01-29,0.0157104,15.5054618,-0.3872652
2024-01-30,-0.058559,15.4469028,-0.4458242
2024-01-31,-0.0503264,15.3965764,-0.4961506
2024-02-02,-0.1158656,15.2807108,-0.6120162
2024-02-07,-0.0589262,15.2217846,-0.6709424
2024-02-08,-0.0643284,15.1574562,-0.7352708
2024-02-09,-0.0403882,15.117068,-0.775659
2024-02-12,0.0087018,15.1257698,-0.7669572
2024-02-13,-0.0057964,15.1199734,-0.7727536
2024-02-15,0.0362686,15.156242,-0.736485
2024-03-01,0.0363088,15.1925508,-0.7001762
2024-03-19,0.0201482,15.212699,-0.680028
2024-03-20,0.031925,15.244624,-0.648103
2024-03-21,-0.0467632,15.1978608,-0.6948662
2024-03-22,-0.0397468,15.158114,-0.734613
2024-03-25,-0.047516,15.110598,-0.782129
2024-03-26,-0.08065,15.029948,-0.862779
2024-03-27,-0.0946544,14.9352936,-0.9574334
2024-03-28,-0.0656456,14.869648,-1.023079
2024-04-01,-0.062264,14.807384,-1.085343
2024-04-02,-0.088776,14.718608,-1.174119
2024-04-03,-0.0960332,14.6225748,-1.2701522
2024-04-04,-0.0899028,14.532672,-1.360055
2024-04-05,-0.1029524,14.4297196,-1.4630074
2024-04-08,-0.107198,14.3225216,-1.5702054
2024-04-09,-0.0810256,14.241496,-1.651231
2024-04-10,-0.1271886,14.1143074,-1.7784196
2024-04-11,-0.0594556,14.0548518,-1.8378752
2024-04-12,-0.042293,14.0125588,-1.8801682
2024-04-15,-0.0441532,13.9684056,-1.9243214
2024-04-16,-0.038098,13.9303076,-1.9624194
2024-04-17,0.0361,13.9664076,-1.9263194
2024-04-24,-0.0122948,13.9541128,-1.9386142
2024-04-25,-0.0076724,13.9464404,-1.9462866
2024-05-09,-0.0081344,13.938306,-1.954421
2024-05-10,-0.0922664,13.8460396,-2.0466874
2024-05-13,-0.0411184,13.8049212,-2.0878058
2024-05-14,-0.03761,13.7673112,-2.1254158
2024-05-15,-0.0168652,13.750446,-2.142281
2024-05-16,-0.0188236,13.7316224,-2.1611046
2024-05-17,-0.050849,13.6807734,-2.2119536
2024-05-28,-0.0151142,13.6656592,-2.2270678
2024-05-29,-0.0216214,13.6440378,-2.2486892
2024-06-07,0.0082114,13.6522492,-2.2404778
2024-06-10,-0.02183,13.6304192,-2.2623078
2024-06-11,-0.0655472,13.564872,-2.327855
2024-06-12,-0.051659,13.513213,-2.379514
2024-06-17,0.0079262,13.5211392,-2.3715878
2024-06-18,0.0222464,13.5433856,-2.3493414
2024-07-17,-0.0680282,13.4753574,-2.4173696
2024-07-18,-0.0516222,13.4237352,-2.4689918
2024-07-19,-0.0383958,13.3853394,-2.5073876
2024-07-22,0.1380788,13.5234182,-2.3693088
2024-07-23,0.103639,13.6270572,-2.2656698
2024-07-24,-0.008548,13.6185092,-2.2742178
2024-07-25,-0.0222392,13.59627,-2.296457
2024-08-15,-0.0664424,13.5298276,-2.3628994
2024-08-16,-0.013796,13.5160316,-2.3766954
2024-08-19,0.00976,13.5257916,-2.3669354
2024-08-20,-0.0580344,13.4677572,-2.4249698
2024-08-21,-0.0453206,13.4224366,-2.4702904
2024-08-22,-0.0520128,13.3704238,-2.5223032
2024-08-23,-0.0460674,13.3243564,-2.5683706
2024-08-26,-0.0420224,13.282334,-2.610393
2024-08-27,-0.0502168,13.2321172,-2.6606098
2024-08-28,-0.0608956,13.1712216,-2.7215054
2024-08-29,-0.0523056,13.118916,-2.773811
2024-08-30,-0.0507508,13.0681652,-2.8245618
2024-09-03,-0.0284694,13.0396958,-2.8530312
2024-09-04,0.0174998,13.0571956,-2.8355314
2024-09-06,-0.0069558,13.0502398,-2.8424872
2024-09-09,-0.047368,13.0028718,-2.8898552
2024-09-10,-0.045975,12.9568968,-2.9358302
2024-09-11,0.1454854,13.1023822,-2.7903448
2024-09-18,-0.0260858,13.0762964,-2.8164306
2024-10-01,-0.049862,13.0264344,-2.8662926
2024-10-02,-0.0256,13.0008344,-2.8918926
2024-10-03,0.0519502,13.0527846,-2.8399424
2024-10-07,0.0866658,13.1394504,-2.7532766
2024-10-09,0.2454902,13.3849406,-2.5077864
2024-10-10,0.1481752,13.5331158,-2.3596112
2024-10-11,0.182976,13.7160918,-2.1766352
2024-10-14,0.0786658,13.7947576,-2.0979694
2024-10-15,0.076119,13.8708766,-2.0218504
2024-10-16,0.0812622,13.9521388,-1.9405882
2024-10-21,0.094336,14.0464748,-1.8462522
2024-10-23,-0.0070298,14.039445,-1.853282
2024-10-31,0.031838,14.071283,-1.821444
2024-11-01,0.0310132,14.1022962,-1.7904308
2024-11-04,0.0110112,14.1133074,-1.7794196
2024-11-05,0.0205672,14.1338746,-1.7588524
2024-11-06,0.0055672,14.1394418,-1.7532852
2024-11-07,0.01003,14.1494718,-1.7432552
2024-11-08,0.0284378,14.1779096,-1.7148174
2024-11-11,0.0284996,14.2064092,-1.6863178
2024-11-12,0.022008,14.2284172,-1.6643098
2024-11-13,-0.030328,14.1980892,-1.6946378
2024-11-14,-0.0004762,14.197613,-1.695114
2024-11-15,-0.0130506,14.1845624,-1.7081646
2024-11-18,-0.0225476,14.1620148,-1.7307122
2024-11-19,-0.0128496,14.1491652,-1.7435618
2024-11-20,-0.062,14.0871652,-1.8055618
2024-11-21,-0.0873108,13.9998544,-1.8928726
2024-11-22,-0.1002568,13.8995976,-1.9931294
2024-11-25,-0.113846,13.7857516,-2.1069754
2024-11-26,-0.1319292,13.6538224,-2.2389046
2024-11-27,-0.1122128,13.5416096,-2.3511174
2024-11-29,-0.005102,13.5365076,-2.3562194
2024-12-02,0.0285748,13.5650824,-2.3276446
2024-12-03,-0.0078494,13.557233,-2.335494
2024-12-04,-0.004402,13.552831,-2.339896
2024-12-06,-0.018769,13.534062,-2.358665
2024-12-09,-0.0046128,13.5294492,-2.3632778
2024-12-10,-0.0467578,13.4826914,-2.4100356
2024-12-13,-0.0345304,13.448161,-2.444566
2024-12-16,-0.0283294,13.4198316,-2.4728954
2024-12-17,-0.0751184,13.3447132,-2.5480138
2024-12-18,-0.085487,13.2592262,-2.6335008
2024-12-19,-0.0593906,13.1998356,-2.6928914
2024-12-20,0.0053154,13.205151,-2.687576
2024-12-23,0.046383,13.251534,-2.641193
2024-12-24,0.0424064,13.2939404,-2.5987866
2025-01-06,-0.0592836,13.2346568,-2.6580702
2025-01-16,0.0907076,13.3253644,-2.5673626
2025-01-22,0.0137886,13.339153,-2.553574
2025-01-23,0.0104256,13.3495786,-2.5431484
2025-02-07,-0.0898886,13.25969,-2.633037
2025-02-10,-0.0798296,13.1798604,-2.7128666
2025-02-11,-0.0232248,13.1566356,-2.7360914
2025-02-12,-0.085412,13.0712236,-2.8215034
2025-02-13,-0.035746,13.0354776,-2.8572494
2025-02-18,-0.043255,12.9922226,-2.9005044
2025-02-19,-0.045551,12.9466716,-2.9460554
2025-02-20,-0.0367414,12.9099302,-2.9827968
2025-02-21,-0.0452846,12.8646456,-3.0280814
2025-02-25,-0.0442996,12.820346,-3.072381
2025-02-26,-0.0397254,12.7806206,-3.1121064
2025-02-27,-0.0401574,12.7404632,-3.1522638
2025-02-28,-0.0264748,12.7139884,-3.1787386
2025-03-03,-0.0351596,12.6788288,-3.2138982
2025-03-04,-0.0187378,12.660091,-3.232636
2025-03-05,-0.006784,12.653307,-3.23942
2025-03-20,-0.047963,12.605344,-3.287383
2025-03-21,-0.0454066,12.5599374,-3.3327896
2025-03-24,0.0069792,12.5669166,-3.3258104
2025-03-25,-0.0396226,12.527294,-3.365433
2025-03-26,-0.0353746,12.4919194,-3.4008076
2025-03-28,-0.0726984,12.419221,-3.473506
2025-03-31,-0.0785034,12.3407176,-3.5520094
2025-04-24,0.0327994,12.373517,-3.51921
2025-04-25,0.0470622,12.4205792,-3.4721478
2025-04-28,0.0538806,12.4744598,-3.4182672
2025-04-30,0.0095748,12.4840346,-3.4086924
2025-05-01,0.1101504,12.594185,-3.298542
2025-05-05,0.0304658,12.6246508,-3.2680762
2025-05-06,0.0237594,12.6484102,-3.2443168
