run_id,trial_id,signal_date,entry_date,exit_date,selected_symbol,realized_volatility_60d,median_dollar_volume_60d,signal_close,entry_open,exit_close,gross_return,round_trip_cost_bps,net_return,provider_query_performed,market_data_downloaded,parameter_sweep_performed,paper_trading_performed,live_trading_performed,promotion_allowed
LOWVOL-TRADABILITY-BACKTEST-001,TRIAL-LOWVOL-TRADABILITY-001,2025-07-14,2025-07-15,2025-07-22,CRMD,0.0546982907,4819586.215,11.36,11.4,11.06,-0.0298245614,500,-0.0798245614,False,False,False,False,False,False
LOWVOL-TRADABILITY-BACKTEST-001,TRIAL-LOWVOL-TRADABILITY-001,2025-07-21,2025-07-22,2025-07-29,CRMD,0.0542704575,4886201.175,10.97,11.0,11.64,0.0581818182,500,0.0081818182,False,False,False,False,False,False
LOWVOL-TRADABILITY-BACKTEST-001,TRIAL-LOWVOL-TRADABILITY-001,2025-07-28,2025-07-29,2025-08-05,CRMD,0.0540217732,5191038.04,12.03,12.06,11.99,-0.0058043118,500,-0.0558043118,False,False,False,False,False,False
LOWVOL-TRADABILITY-BACKTEST-001,TRIAL-LOWVOL-TRADABILITY-001,2025-08-04,2025-08-05,2025-08-12,CRMD,0.0448164015,5365259.39,12.4,12.48,11.66,-0.0657051282,500,-0.1157051282,False,False,False,False,False,False
LOWVOL-TRADABILITY-BACKTEST-001,TRIAL-LOWVOL-TRADABILITY-001,2025-08-11,2025-08-12,2025-08-19,CRMD,0.0467795969,5365259.39,10.19,10.19,13.06,0.2816486752,500,0.2316486752,False,False,False,False,False,False
LOWVOL-TRADABILITY-BACKTEST-001,TRIAL-LOWVOL-TRADABILITY-001,2025-08-18,2025-08-19,2025-08-26,CRMD,0.0500285586,6130776.15,13.19,13.03,13.99,0.073676132,500,0.023676132,False,False,False,False,False,False
LOWVOL-TRADABILITY-BACKTEST-001,TRIAL-LOWVOL-TRADABILITY-001,2025-08-25,2025-08-26,2025-09-03,CRMD,0.0501659067,7081988.335,13.73,13.74,13.77,0.0021834061,500,-0.0478165939,False,False,False,False,False,False
LOWVOL-TRADABILITY-BACKTEST-001,TRIAL-LOWVOL-TRADABILITY-001,2025-09-02,2025-09-03,2025-09-10,CRMD,0.0494227892,7407440.46,14.68,14.75,12.82,-0.1308474576,500,-0.1808474576,False,False,False,False,False,False
LOWVOL-TRADABILITY-BACKTEST-001,TRIAL-LOWVOL-TRADABILITY-001,2025-09-09,2025-09-10,2025-09-17,CRMD,0.0506305757,8256701.01,13.36,13.2,11.16,-0.1545454545,500,-0.2045454545,False,False,False,False,False,False
LOWVOL-TRADABILITY-BACKTEST-001,TRIAL-LOWVOL-TRADABILITY-001,2025-09-16,2025-09-17,2025-09-24,CRMD,0.0520953364,8793816.835,11.59,11.7,11.24,-0.0393162393,500,-0.0893162393,False,False,False,False,False,False
LOWVOL-TRADABILITY-BACKTEST-001,TRIAL-LOWVOL-TRADABILITY-001,2025-09-23,2025-09-24,2025-10-01,CRMD,0.0383347166,8824182.37,11.69,11.64,11.15,-0.0420962199,500,-0.0920962199,False,False,False,False,False,False
LOWVOL-TRADABILITY-BACKTEST-001,TRIAL-LOWVOL-TRADABILITY-001,2025-09-30,2025-10-01,2025-10-08,CRMD,0.0393673419,8824182.37,11.6,11.63,11.28,-0.030094583,500,-0.080094583,False,False,False,False,False,False
LOWVOL-TRADABILITY-BACKTEST-001,TRIAL-LOWVOL-TRADABILITY-001,2025-10-07,2025-10-08,2025-10-15,CRMD,0.0396276099,9032223.615,11.11,11.2,10.61,-0.0526785714,500,-0.1026785714,False,False,False,False,False,False
LOWVOL-TRADABILITY-BACKTEST-001,TRIAL-LOWVOL-TRADABILITY-001,2025-10-14,2025-10-15,2025-10-22,CRMD,0.039912519,9032223.615,10.51,10.75,11.11,0.0334883721,500,-0.0165116279,False,False,False,False,False,False
LOWVOL-TRADABILITY-BACKTEST-001,TRIAL-LOWVOL-TRADABILITY-001,2025-10-21,2025-10-22,2025-10-29,CRMD,0.0474813564,8824182.37,11.72,11.79,11.46,-0.0279898219,500,-0.0779898219,False,False,False,False,False,False
LOWVOL-TRADABILITY-BACKTEST-001,TRIAL-LOWVOL-TRADABILITY-001,2025-10-28,2025-10-29,2025-11-05,CRMD,0.0471484592,8824182.37,11.17,11.36,11.33,-0.0026408451,500,-0.0526408451,False,False,False,False,False,False
LOWVOL-TRADABILITY-BACKTEST-001,TRIAL-LOWVOL-TRADABILITY-001,2025-11-04,2025-11-05,2025-11-12,CRMD,0.0455848462,8634647.935,11.3,11.43,11.4,-0.0026246719,500,-0.0526246719,False,False,False,False,False,False
LOWVOL-TRADABILITY-BACKTEST-001,TRIAL-LOWVOL-TRADABILITY-001,2025-11-11,2025-11-12,2025-11-19,CRMD,0.041738652,8111793.69,11.4,11.97,10.03,-0.1620718463,500,-0.2120718463,False,False,False,False,False,False
LOWVOL-TRADABILITY-BACKTEST-001,TRIAL-LOWVOL-TRADABILITY-001,2025-11-18,2025-11-19,2025-11-26,CRMD,0.0438399792,8111793.69,10.04,10.07,9.67,-0.0397219464,500,-0.0897219464,False,False,False,False,False,False
LOWVOL-TRADABILITY-BACKTEST-001,TRIAL-LOWVOL-TRADABILITY-001,2025-11-25,2025-11-26,2025-12-04,CRMD,0.0440042589,7803456.885,9.49,9.47,10.64,0.1235480465,500,0.0735480465,False,False,False,False,False,False
LOWVOL-TRADABILITY-BACKTEST-001,TRIAL-LOWVOL-TRADABILITY-001,2025-12-03,2025-12-04,2025-12-11,CRMD,0.0426902447,7024830.8,10.31,10.41,11.71,0.1248799232,500,0.0748799232,False,False,False,False,False,False
LOWVOL-TRADABILITY-BACKTEST-001,TRIAL-LOWVOL-TRADABILITY-001,2025-12-10,2025-12-11,2025-12-18,CRMD,0.0418745834,7024830.8,11.47,11.44,11.8,0.0314685315,500,-0.0185314685,False,False,False,False,False,False
LOWVOL-TRADABILITY-BACKTEST-001,TRIAL-LOWVOL-TRADABILITY-001,2025-12-17,2025-12-18,2025-12-26,CRMD,0.0407213673,7024830.8,11.45,11.46,12.53,0.0933682373,500,0.0433682373,False,False,False,False,False,False
