symbol,sleeve,regime_label,signal_date,entry_date,exit_date,entry_price,exit_price,score,gross_return,cost_return,net_return,per_trade_weight,weighted_net_return,forced_end_of_history_exit,as_of_date,kronos_forecast_return_mean,kronos_forecast_return_median,kronos_forecast_return_std,kronos_probability_up,kronos_forecast_drawdown_proxy,kronos_sample_path_agreement,kronos_keep_trade,overlay_weighted_net_return,throttle_weight_multiplier,throttle_weighted_net_return,binary_overlay_weighted_net_return
CDTX-202601,Recovery Breadth Momentum,RECOVERY_BOUNCE,2025-12-08,2025-12-09,2026-01-06,220.0599975585937,221.3800048828125,1.1081522043388516,0.0059983974318971,0.01,-0.0040016025681028,0.05,-0.0002000801284051,True,2025-12-08,0.0671703700909717,0.0765211570692143,0.0328987412971454,1.0,0.055102829549479,1.0,True,-0.0002000801284051,1.0,-0.0002000801284051,-0.0002000801284051
EB-202603,Recovery Breadth Momentum,RECOVERY_BOUNCE,2025-12-08,2025-12-09,2026-01-08,4.429999828338623,4.460000038146973,0.684410507822486,0.0067720566525621,0.01,-0.0032279433474378,0.05,-0.0001613971673718,False,2025-12-08,0.0267024943966249,0.0326670063010319,0.0335769070195775,0.8,0.0501972846544647,0.8,True,-0.0001613971673718,1.0,-0.0001613971673718,-0.0001613971673718
ISSC,Recovery Breadth Momentum,RECOVERY_BOUNCE,2026-01-07,2026-01-08,2026-02-06,18.770000457763672,19.59000015258789,0.7536091156208451,0.0436867168261068,0.01,0.0336867168261068,0.05,0.0016843358413053,False,2026-01-07,0.0216195567937154,0.0153826312137093,0.0284739105258161,0.8,-0.0574988168052286,0.8,True,0.0016843358413053,1.0,0.0016843358413053,0.0016843358413053
DVAX-202602,Recovery Breadth Momentum,RECOVERY_BOUNCE,2026-01-07,2026-01-08,2026-02-06,15.420000076293944,15.5,0.4047401524435752,0.005188062471481,0.01,-0.0048119375285189,0.05,-0.0002405968764259,False,2026-01-07,-0.023464596712726,-0.0247033831488407,0.0100372045511509,0.0,-0.0239817840158489,1.0,False,0.0,0.5,-0.00012029843821295,0.0
FTAI,Recovery Breadth Momentum,RECOVERY_BOUNCE,2026-01-07,2026-01-08,2026-02-06,241.18344116210932,271.69012451171875,0.3560821643381675,0.1264874702948806,0.01,0.1164874702948806,0.05,0.005824373514744,False,2026-01-07,-0.0651238168887306,-0.0668393405569369,0.02359032021472,0.0,-0.1091082826012582,1.0,False,0.0,0.5,0.002912186757372,0.0
FSLY,Recovery Breadth Momentum,RECOVERY_BOUNCE,2026-04-06,2026-04-07,2026-05-05,31.6299991607666,32.36000061035156,0.5660378287666823,0.0230794014844757,0.01,0.0130794014844757,0.05,0.0006539700742237,False,2026-04-06,0.0478467522219945,0.048414723618297,0.0251078909199765,1.0,-0.0154144485827444,1.0,True,0.0006539700742237,1.0,0.0006539700742237,0.0006539700742237
PAYS,Recovery Breadth Momentum,RECOVERY_BOUNCE,2026-04-06,2026-04-07,2026-05-05,5.849999904632568,6.75,0.5578947764684623,0.1538461726562985,0.01,0.1438461726562985,0.05,0.0071923086328149,False,2026-04-06,-0.0460535281921911,-0.0390461968209782,0.0365518517784551,0.0,-0.10532261416303,1.0,False,0.0,0.5,0.00359615431640745,0.0
ADV,Recovery Breadth Momentum,RECOVERY_BOUNCE,2026-04-06,2026-04-07,2026-05-05,23.39999961853028,37.77999877929688,0.4718749523162842,0.6145298886833825,0.01,0.6045298886833825,0.05,0.0302264944341691,False,2026-04-06,-0.0360127519421345,-0.0347269478484701,0.0570059325732162,0.2,-0.1307257109470152,0.8,False,0.0,0.5,0.01511324721708455,0.0
ADTN,Recovery Breadth Momentum,RECOVERY_BOUNCE,2026-04-06,2026-04-07,2026-05-05,12.880000114440918,15.300000190734863,0.3482794681381294,0.1878882030117894,0.01,0.1778882030117894,0.05,0.0088944101505894,False,2026-04-06,0.0026598293210664,0.0178602617124183,0.0446838127912739,0.8,-0.0631384749826081,0.8,True,0.0088944101505894,1.0,0.0088944101505894,0.0088944101505894
FCEL,Recovery Breadth Momentum,RECOVERY_BOUNCE,2026-05-04,2026-05-05,2026-06-01,13.199999809265137,21.309999465942383,0.9520240343082544,0.6143939222623929,0.01,0.6043939222623929,0.05,0.0302196961131196,True,2026-05-04,0.0051720056312195,0.0003328337896613,0.0364334058737002,0.6,-0.1153317424112577,0.6,True,0.0302196961131196,1.0,0.0302196961131196,0.0302196961131196
AVNS,Recovery Breadth Momentum,RECOVERY_BOUNCE,2026-05-04,2026-05-05,2026-06-01,24.700000762939453,25.049999237060547,0.783080259107038,0.0141699782716704,0.01,0.0041699782716704,0.05,0.0002084989135835,True,2026-05-04,0.018374047930604,0.0142477242144021,0.0144457941007993,1.0,-0.0065112056346141,1.0,True,0.0002084989135835,1.0,0.0002084989135835,0.0002084989135835
RPAY,Recovery Breadth Momentum,RECOVERY_BOUNCE,2026-05-04,2026-05-05,2026-06-01,3.825000047683716,4.03000020980835,0.6326530294485866,0.0535948129592245,0.01,0.0435948129592245,0.05,0.0021797406479612,True,2026-05-04,-0.0037465095520019,-0.0082261562347412,0.0435893908551496,0.4,-0.0462602376937866,0.6,False,0.0,0.5,0.0010898703239806,0.0
ADV,Recovery Breadth Momentum,RECOVERY_BOUNCE,2026-05-04,2026-05-05,2026-06-01,36.619998931884766,37.43999862670898,0.5554141084841624,0.022392127764653,0.01,0.012392127764653,0.05,0.0006196063882326,True,2026-05-04,0.0037434853085212,0.0159868407007253,0.0119335973424209,0.6,-0.0912106274151026,0.6,True,0.0006196063882326,1.0,0.0006196063882326,0.0006196063882326
TZOO,Recovery Breadth Momentum,RECOVERY_BOUNCE,2026-05-04,2026-05-05,2026-06-01,9.279999732971191,10.710000038146973,0.5424293019516842,0.1540948649055549,0.01,0.1440948649055549,0.05,0.0072047432452777,True,2026-05-04,0.0195011059329444,0.0172072878409101,0.0133617908037453,1.0,-0.0279992387066242,1.0,True,0.0072047432452777,1.0,0.0072047432452777,0.0072047432452777
