symbol,sleeve,signal_date,entry_date,exit_date,entry_price,exit_price,score,gross_return,cost_return,net_return,sleeve_weight,weighted_net_return,forced_end_of_history_exit,component_id,component_template,component_weight
ACDC,Mean Reversion,2025-08-14,2025-08-15,2025-08-29,3.5199999809265137,4.0,-0.4264705790688741,0.13636364252114097,0.01,0.12636364252114096,0.25,0.03159091063028524,False,a42078cbf0a2ea94,Mean Reversion,0.25
CCOI,Mean Reversion,2025-11-07,2025-11-10,2025-11-24,23.557302474975586,17.124120712280273,-0.43054546287901196,-0.27308652039125203,0.01,-0.28308652039125204,0.25,-0.07077163009781301,False,a42078cbf0a2ea94,Mean Reversion,0.25
BDTX,Mean Reversion,2025-12-08,2025-12-09,2025-12-23,2.7300000190734863,2.549999952316284,-0.27055702548726246,-0.06593408992659677,0.01,-0.07593408992659677,0.25,-0.018983522481649192,False,a42078cbf0a2ea94,Mean Reversion,0.25
CORT,Mean Reversion,2026-01-07,2026-01-08,2026-01-23,36.5,43.97999954223633,-0.4728969276891646,0.20493149430784463,0.01,0.19493149430784462,0.25,0.048732873576961155,False,a42078cbf0a2ea94,Mean Reversion,0.25
GEOS,Mean Reversion,2026-02-05,2026-02-06,2026-02-23,9.460000038146973,9.25,-0.43682315378818126,-0.022198735443991313,0.01,-0.032198735443991315,0.25,-0.008049683860997829,False,a42078cbf0a2ea94,Mean Reversion,0.25
DSGR,Mean Reversion,2026-03-06,2026-03-09,2026-03-23,21.510000228881836,25.93000030517578,-0.2612039988489565,0.20548582190897124,0.01,0.19548582190897124,0.25,0.04887145547724281,False,a42078cbf0a2ea94,Mean Reversion,0.25
CCOI,Mean Reversion,2026-05-04,2026-05-05,2026-05-19,16.589841842651367,17.68000030517578,-0.3367098882094752,0.06571240840414094,0.01,0.05571240840414094,0.25,0.013928102101035235,False,a42078cbf0a2ea94,Mean Reversion,0.25
APPS,Momentum,2024-08-28,2024-08-29,2024-09-27,3.5399999618530273,3.140000104904175,0.4663864881185409,-0.11299431109018176,0.01,-0.12299431109018176,0.25,-0.03074857777254544,False,acc065823d9dcfb7,Momentum,0.25
APLD,Momentum,2024-09-26,2024-09-27,2024-10-25,8.260000228881836,8.039999961853027,0.8707483640484233,-0.026634414156498143,0.01,-0.036634414156498145,0.25,-0.009158603539124536,False,acc065823d9dcfb7,Momentum,0.25
ALTM-202503,Momentum,2024-10-24,2024-10-25,2024-11-22,5.489999771118164,5.289999961853027,0.9503546560993688,-0.03642983927199728,0.01,-0.04642983927199728,0.25,-0.01160745981799932,False,acc065823d9dcfb7,Momentum,0.25
