symbol,signal_date,momentum_3m,momentum_6m,momentum_12m,rank_aggregate_score,signal_close,avg_dollar_volume_20d,rolling_volatility_20d,candidate_status,reject_reason,entry_date
AEHR,2025-05-30,-0.011398963730570033,-0.2488188976377953,-0.18877551020408168,-0.14966445719081567,9.54,1232717.26,0.039428126127377554,accepted_for_ranking,,
ARRY,2025-05-30,0.2718631178707225,-0.04700854700854684,-0.5033407572383073,-0.09282872879204389,6.69,17050189.976999998,0.07362064338479198,accepted_for_ranking,,
CABA,2025-05-30,,,,,,,,rejected,insufficient_history_or_liquidity,2025-06-02
CRMD,2025-05-30,0.1776061776061777,0.22613065326633164,1.2761194029850742,0.5599520779525279,12.2,10312257.1505,0.05817466043268612,accepted_for_ranking,,
IOVA,2025-05-30,,,,,,,,rejected,insufficient_history_or_liquidity,2025-06-02
AEHR,2025-06-30,0.6391359593392631,-0.14342629482071712,0.26843657817109157,0.2547154142298792,12.9,2891524.0910000005,0.05586883699692068,accepted_for_ranking,,
ARRY,2025-06-30,0.1626984126984128,-0.010135135135135087,-0.440305635148042,-0.09591411919492143,5.86,15792598.9715,0.053844327187829284,accepted_for_ranking,,
CABA,2025-06-30,,,,,,,,rejected,insufficient_history_or_liquidity,2025-07-01
CRMD,2025-06-30,0.8306092124814264,0.48612786489746695,1.9686746987951804,1.0951372587246913,12.32,10208020.958999999,0.0709575292051351,accepted_for_ranking,,
IOVA,2025-06-30,,,,,,,,rejected,insufficient_history_or_liquidity,2025-07-01
AEHR,2025-07-31,0.9624853458382181,0.5457063711911356,-0.09268292682926838,0.47183626340002843,16.74,8967591.622,0.09457127273356797,accepted_for_ranking,,
ARRY,2025-07-31,0.38912133891213374,-0.07132867132867138,-0.37417530631479734,-0.01879421291044499,6.64,12062770.888,0.039135978903813436,accepted_for_ranking,,
CABA,2025-07-31,,,,,,,,rejected,insufficient_history_or_liquidity,2025-08-01
CRMD,2025-07-31,0.26224156692056577,0.027457927369353374,1.4786324786324787,0.5894439909741326,11.6,7534182.367500002,0.022939906448950064,accepted_for_ranking,,
IOVA,2025-07-31,-0.28690807799442897,-0.5789473684210527,-0.7180616740088106,-0.5279723734747641,2.56,12740459.533,0.11953107569518132,accepted_for_ranking,,
AEHR,2025-08-29,1.6226415094339623,1.5927461139896373,0.6974219810040705,1.3042698681425566,25.02,10986224.36,0.10204100760498486,accepted_for_ranking,,
ARRY,2025-08-29,0.3467862481315396,0.7129277566539924,0.3630862329803328,0.47426674592195495,9.01,16243928.005,0.07626098842837672,accepted_for_ranking,,
CABA,2025-08-29,,,,,,,,rejected,insufficient_history_or_liquidity,2025-09-02
CRMD,2025-08-29,0.21557377049180326,0.43146718146718155,1.4035656401944894,0.6835355307178247,14.83,13167662.072999999,0.04696132347067265,accepted_for_ranking,,
IOVA,2025-08-29,0.2832369942196533,-0.4776470588235293,-0.8040600176522507,-0.3328233607520422,2.22,6331015.569,0.09383616598690703,accepted_for_ranking,,
AEHR,2025-09-30,1.0794198895027622,3.130315500685871,1.300229182582124,1.8366548575902524,30.11,9990154.863499999,0.04226856765026472,accepted_for_ranking,,
ARRY,2025-09-30,0.243531202435312,0.6810699588477365,0.2647058823529411,0.3964356812119965,8.17,15120109.995500002,0.03472112744921773,accepted_for_ranking,,
CABA,2025-09-30,0.5064102564102564,0.7407407407407407,-0.4125,0.27821699905033237,2.35,1086310.2739999997,0.04934276125775562,accepted_for_ranking,,
CRMD,2025-09-30,-0.015280135823429464,0.864951768488746,0.40947752126366943,0.41971638464299527,11.6,11557980.7465,0.04304312240738016,accepted_for_ranking,,
IOVA,2025-09-30,0.24137931034482762,-0.3513513513513513,-0.7677419354838709,-0.2925713254967982,2.16,4814122.599000001,0.04256618924200803,accepted_for_ranking,,
AEHR,2025-10-31,0.3756613756613758,1.9850746268656714,0.6883116883116882,1.0163492302795785,26.0,12184451.120500002,0.07587797943000162,accepted_for_ranking,,
ARRY,2025-10-31,0.43833333333333346,0.7191235059760959,0.33798449612403103,0.4984804451444868,8.63,16769789.656,0.05176163825635941,accepted_for_ranking,,
CABA,2025-10-31,1.3466666666666667,1.626865671641791,-0.16190476190476188,0.9372091921345653,3.52,3509625.5204999996,0.11629604567030645,accepted_for_ranking,,
CRMD,2025-10-31,-0.10403225806451621,0.1844349680170574,-0.14340786430223607,-0.021001718116564965,11.11,6668972.666500001,0.05407540104617652,accepted_for_ranking,,
IOVA,2025-10-31,,,,,,,,rejected,insufficient_history_or_liquidity,2025-11-03
AEHR,2025-11-28,-0.09032773780975212,1.385744234800839,0.7921259842519688,0.6958474937476852,22.76,5793856.632999999,0.04905224254115942,accepted_for_ranking,,
ARRY,2025-11-28,-0.16648168701442845,0.1225710014947683,0.06980056980056992,0.008629961426969923,7.51,17204509.638,0.06753031892514258,accepted_for_ranking,,
CABA,2025-11-28,0.7793103448275862,0.3796791443850267,0.09787234042553195,0.41895394321271495,2.58,2772209.9995,0.10883906856211285,accepted_for_ranking,,
CRMD,2025-11-28,-0.33715441672285906,-0.19426229508196713,-0.012060301507537563,-0.18115900443745458,9.83,9167953.363,0.036229996414996565,accepted_for_ranking,,
IOVA,2025-11-28,0.11711711711711703,0.4335260115606936,-0.7330462863293864,-0.06080105255052526,2.48,8111128.8295,0.07669668293175465,accepted_for_ranking,,
