run_id,trial_id,source_run_id,source_trial_id,source_file,symbol,mapped_date,entry_date,exit_date,regime_label,net_return,gross_return,provider_query_performed,backtest_performed,promotion_allowed
REGIME-MAP-DIAGNOSTIC-001,REGIME-MAP-001,LOWVOL-TRADABILITY-BACKTEST-001,TRIAL-LOWVOL-TRADABILITY-001,experiments\provider_aware_research\execution_outputs\LOWVOL-TRADABILITY-BACKTEST-001\trade_log.csv,CRMD,2025-08-11,2025-08-12,2025-08-19,TREND_DOWN,0.2316486752,0.2816486752,False,False,False
REGIME-MAP-DIAGNOSTIC-001,REGIME-MAP-001,LOWVOL-TRADABILITY-BACKTEST-001,TRIAL-LOWVOL-TRADABILITY-001,experiments\provider_aware_research\execution_outputs\LOWVOL-TRADABILITY-BACKTEST-001\trade_log.csv,CRMD,2025-08-18,2025-08-19,2025-08-26,TREND_UP,0.023676132,0.073676132,False,False,False
REGIME-MAP-DIAGNOSTIC-001,REGIME-MAP-001,LOWVOL-TRADABILITY-BACKTEST-001,TRIAL-LOWVOL-TRADABILITY-001,experiments\provider_aware_research\execution_outputs\LOWVOL-TRADABILITY-BACKTEST-001\trade_log.csv,CRMD,2025-08-25,2025-08-26,2025-09-03,TREND_UP,-0.0478165939,0.0021834061,False,False,False
REGIME-MAP-DIAGNOSTIC-001,REGIME-MAP-001,LOWVOL-TRADABILITY-BACKTEST-001,TRIAL-LOWVOL-TRADABILITY-001,experiments\provider_aware_research\execution_outputs\LOWVOL-TRADABILITY-BACKTEST-001\trade_log.csv,CRMD,2025-09-02,2025-09-03,2025-09-10,VOLATILITY_SHOCK,-0.1808474576,-0.1308474576,False,False,False
REGIME-MAP-DIAGNOSTIC-001,REGIME-MAP-001,LOWVOL-TRADABILITY-BACKTEST-001,TRIAL-LOWVOL-TRADABILITY-001,experiments\provider_aware_research\execution_outputs\LOWVOL-TRADABILITY-BACKTEST-001\trade_log.csv,CRMD,2025-09-09,2025-09-10,2025-09-17,TREND_UP,-0.2045454545,-0.1545454545,False,False,False
REGIME-MAP-DIAGNOSTIC-001,REGIME-MAP-001,LOWVOL-TRADABILITY-BACKTEST-001,TRIAL-LOWVOL-TRADABILITY-001,experiments\provider_aware_research\execution_outputs\LOWVOL-TRADABILITY-BACKTEST-001\trade_log.csv,CRMD,2025-09-16,2025-09-17,2025-09-24,VOLATILITY_SHOCK,-0.0893162393,-0.0393162393,False,False,False
REGIME-MAP-DIAGNOSTIC-001,REGIME-MAP-001,LOWVOL-TRADABILITY-BACKTEST-001,TRIAL-LOWVOL-TRADABILITY-001,experiments\provider_aware_research\execution_outputs\LOWVOL-TRADABILITY-BACKTEST-001\trade_log.csv,CRMD,2025-09-23,2025-09-24,2025-10-01,TREND_DOWN,-0.0920962199,-0.0420962199,False,False,False
REGIME-MAP-DIAGNOSTIC-001,REGIME-MAP-001,LOWVOL-TRADABILITY-BACKTEST-001,TRIAL-LOWVOL-TRADABILITY-001,experiments\provider_aware_research\execution_outputs\LOWVOL-TRADABILITY-BACKTEST-001\trade_log.csv,CRMD,2025-09-30,2025-10-01,2025-10-08,TREND_DOWN,-0.080094583,-0.030094583,False,False,False
REGIME-MAP-DIAGNOSTIC-001,REGIME-MAP-001,LOWVOL-TRADABILITY-BACKTEST-001,TRIAL-LOWVOL-TRADABILITY-001,experiments\provider_aware_research\execution_outputs\LOWVOL-TRADABILITY-BACKTEST-001\trade_log.csv,CRMD,2025-10-07,2025-10-08,2025-10-15,TREND_DOWN,-0.1026785714,-0.0526785714,False,False,False
REGIME-MAP-DIAGNOSTIC-001,REGIME-MAP-001,LOWVOL-TRADABILITY-BACKTEST-001,TRIAL-LOWVOL-TRADABILITY-001,experiments\provider_aware_research\execution_outputs\LOWVOL-TRADABILITY-BACKTEST-001\trade_log.csv,CRMD,2025-10-14,2025-10-15,2025-10-22,TREND_DOWN,-0.0165116279,0.0334883721,False,False,False
REGIME-MAP-DIAGNOSTIC-001,REGIME-MAP-001,LOWVOL-TRADABILITY-BACKTEST-001,TRIAL-LOWVOL-TRADABILITY-001,experiments\provider_aware_research\execution_outputs\LOWVOL-TRADABILITY-BACKTEST-001\trade_log.csv,CRMD,2025-10-21,2025-10-22,2025-10-29,MIXED_NORMAL,-0.0779898219,-0.0279898219,False,False,False
REGIME-MAP-DIAGNOSTIC-001,REGIME-MAP-001,LOWVOL-TRADABILITY-BACKTEST-001,TRIAL-LOWVOL-TRADABILITY-001,experiments\provider_aware_research\execution_outputs\LOWVOL-TRADABILITY-BACKTEST-001\trade_log.csv,CRMD,2025-10-28,2025-10-29,2025-11-05,TREND_DOWN,-0.0526408451,-0.0026408451,False,False,False
REGIME-MAP-DIAGNOSTIC-001,REGIME-MAP-001,LOWVOL-TRADABILITY-BACKTEST-001,TRIAL-LOWVOL-TRADABILITY-001,experiments\provider_aware_research\execution_outputs\LOWVOL-TRADABILITY-BACKTEST-001\trade_log.csv,CRMD,2025-11-04,2025-11-05,2025-11-12,MIXED_NORMAL,-0.0526246719,-0.0026246719,False,False,False
REGIME-MAP-DIAGNOSTIC-001,REGIME-MAP-001,LOWVOL-TRADABILITY-BACKTEST-001,TRIAL-LOWVOL-TRADABILITY-001,experiments\provider_aware_research\execution_outputs\LOWVOL-TRADABILITY-BACKTEST-001\trade_log.csv,CRMD,2025-11-11,2025-11-12,2025-11-19,TREND_UP,-0.2120718463,-0.1620718463,False,False,False
REGIME-MAP-DIAGNOSTIC-001,REGIME-MAP-001,LOWVOL-TRADABILITY-BACKTEST-001,TRIAL-LOWVOL-TRADABILITY-001,experiments\provider_aware_research\execution_outputs\LOWVOL-TRADABILITY-BACKTEST-001\trade_log.csv,CRMD,2025-11-18,2025-11-19,2025-11-26,TREND_DOWN,-0.0897219464,-0.0397219464,False,False,False
REGIME-MAP-DIAGNOSTIC-001,REGIME-MAP-001,LOWVOL-TRADABILITY-BACKTEST-001,TRIAL-LOWVOL-TRADABILITY-001,experiments\provider_aware_research\execution_outputs\LOWVOL-TRADABILITY-BACKTEST-001\trade_log.csv,CRMD,2025-11-25,2025-11-26,2025-12-04,TREND_DOWN,0.0735480465,0.1235480465,False,False,False
REGIME-MAP-DIAGNOSTIC-001,REGIME-MAP-001,LOWVOL-TRADABILITY-BACKTEST-001,TRIAL-LOWVOL-TRADABILITY-001,experiments\provider_aware_research\execution_outputs\LOWVOL-TRADABILITY-BACKTEST-001\trade_log.csv,CRMD,2025-12-03,2025-12-04,2025-12-11,TREND_DOWN,0.0748799232,0.1248799232,False,False,False
REGIME-MAP-DIAGNOSTIC-001,REGIME-MAP-001,LOWVOL-TRADABILITY-BACKTEST-001,TRIAL-LOWVOL-TRADABILITY-001,experiments\provider_aware_research\execution_outputs\LOWVOL-TRADABILITY-BACKTEST-001\trade_log.csv,CRMD,2025-12-10,2025-12-11,2025-12-18,QUIET_RANGE,-0.0185314685,0.0314685315,False,False,False
REGIME-MAP-DIAGNOSTIC-001,REGIME-MAP-001,LOWVOL-TRADABILITY-BACKTEST-001,TRIAL-LOWVOL-TRADABILITY-001,experiments\provider_aware_research\execution_outputs\LOWVOL-TRADABILITY-BACKTEST-001\trade_log.csv,CRMD,2025-12-17,2025-12-18,2025-12-26,TREND_UP,0.0433682373,0.0933682373,False,False,False
