symbol,sleeve,signal_date,entry_date,exit_date,entry_price,exit_price,score,gross_return,cost_return,net_return,per_trade_weight,weighted_net_return,forced_end_of_history_exit,provider_query_performed,family,regime_label,selection_policy,split
BSCP-202512,volatility_compression_20d,2025-02-06,2025-02-07,2025-03-10,19.959679,20.02723,0.0004566426871955365,0.003384373065318247,0.05,-0.046615626934681756,0.2,-0.00932312538693635,False,False,volatility_compression_20d,RANGE_HIGH_VOL,predeclared_family_map,is
ACB,dollar_volume_shock_20d,2025-02-06,2025-02-07,2025-02-24,6.02,5.61,7.938527700758874,-0.06810631229235864,0.05,-0.11810631229235864,0.2,-0.02362126245847173,False,False,dollar_volume_shock_20d,RANGE_HIGH_VOL,predeclared_family_map,is
ACCD-202504,dollar_volume_shock_20d,2025-02-06,2025-02-07,2025-02-24,6.88,6.92,7.711933349556462,0.005813953488372103,0.05,-0.0441860465116279,0.2,-0.00883720930232558,False,False,dollar_volume_shock_20d,RANGE_HIGH_VOL,predeclared_family_map,is
AKRO-202512,dollar_volume_shock_20d,2025-02-06,2025-02-07,2025-02-24,54.81,49.6,4.277398872084738,-0.09505564677978473,0.05,-0.14505564677978472,0.2,-0.029011129355956945,False,False,dollar_volume_shock_20d,RANGE_HIGH_VOL,predeclared_family_map,is
AKYA-202507,dollar_volume_shock_20d,2025-02-06,2025-02-07,2025-02-24,2.5,1.82,3.5554379597006873,-0.272,0.05,-0.322,0.2,-0.0644,False,False,dollar_volume_shock_20d,RANGE_HIGH_VOL,predeclared_family_map,is
CMRX-202504,momentum_60d,2025-03-07,2025-03-10,2025-04-07,8.42,8.52,9.132211538461538,0.01187648456057011,0.05,-0.03812351543942989,0.2,-0.007624703087885979,False,False,momentum_60d,DRAWDOWN_STRESS,predeclared_family_map,is
ACCD-202504,momentum_60d,2025-03-07,2025-03-10,2025-04-07,6.97,7.02,0.8888888888888888,0.007173601147776099,0.05,-0.042826398852223904,0.2,-0.008565279770444781,False,False,momentum_60d,DRAWDOWN_STRESS,predeclared_family_map,is
ACMR,momentum_60d,2025-03-07,2025-03-10,2025-04-07,26.39,19.15,0.8186702484889186,-0.2743463433118606,0.05,-0.3243463433118606,0.2,-0.06486926866237212,False,False,momentum_60d,DRAWDOWN_STRESS,predeclared_family_map,is
ACON,mean_reversion_5d,2025-03-07,2025-03-10,2025-03-24,35.640003,20.789999,-0.5880597014925373,-0.41666674382715396,0.05,-0.46666674382715395,0.2,-0.0933333487654308,False,False,mean_reversion_5d,DRAWDOWN_STRESS,predeclared_family_map,is
AAOI,mean_reversion_5d,2025-03-07,2025-03-10,2025-03-24,15.07,22.28,-0.27630375114364136,0.4784339747843398,0.05,0.4284339747843398,0.2,0.08568679495686797,False,False,mean_reversion_5d,DRAWDOWN_STRESS,predeclared_family_map,is
