period,portfolio_return,cumulative_net_return,drawdown
2020-12-04,0.01702837,14.23296996,0.0
2020-12-07,0.00143524,14.2344052,0.0
2020-12-08,0.02193714,14.25634234,0.0
2020-12-09,-0.00594493,14.25039741,-0.00594493
2020-12-10,0.0025647,14.2529621,-0.00338024
2020-12-11,0.00108129,14.25404339,-0.00229895
2020-12-14,-0.00012903,14.25391436,-0.00242798
2020-12-15,0.00317288,14.25708724,0.0
2020-12-16,0.06605134,14.32313859,0.0
2020-12-17,0.02378278,14.34692136,0.0
2020-12-18,0.11168216,14.45860352,0.0
2020-12-21,0.0019265,14.46053002,0.0
2020-12-22,0.00241981,14.46294983,0.0
2020-12-23,0.07063461,14.53358444,0.0
2020-12-24,0.00181312,14.53539756,0.0
2020-12-28,0.00288111,14.53827867,0.0
2020-12-29,0.01960022,14.5578789,0.0
2020-12-30,0.00187984,14.55975874,0.0
2020-12-31,0.00215707,14.56191582,0.0
2021-01-04,-0.00112309,14.56079273,-0.00112309
2021-01-05,-0.01598934,14.54480339,-0.01711243
2021-01-06,0.00599582,14.5507992,-0.01111661
2021-01-07,0.01392446,14.56472366,0.0
2021-01-08,0.07520042,14.63992409,0.0
2021-01-11,0.00708976,14.64701385,0.0
2021-01-12,0.07104395,14.7180578,0.0
2021-01-13,0.08599564,14.80405344,0.0
2021-01-14,-0.00495304,14.7991004,-0.00495304
2021-01-15,0.14805597,14.94715637,0.0
2021-01-19,0.10756244,15.0547188,0.0
2021-01-20,0.00308269,15.05780149,0.0
2021-01-21,0.00207266,15.05987415,0.0
2021-01-22,0.0011457,15.06101985,0.0
2021-01-27,0.00134775,15.0623676,0.0
2021-01-28,0.01689662,15.07926423,0.0
2021-01-29,-0.0008947,15.07836953,-0.0008947
2021-02-01,0.00137685,15.07974638,0.0
2021-02-02,0.09334815,15.17309453,0.0
2021-02-04,-0.00078339,15.17231114,-0.00078339
2021-02-05,0.00092258,15.17323373,0.0
2021-02-09,0.02813422,15.20136795,0.0
2021-02-10,0.0303412,15.23170914,0.0
2021-02-11,0.04246688,15.27417602,0.0
2021-02-12,0.050499,15.32467502,0.0
2021-02-19,0.00076285,15.32543787,0.0
2021-02-22,-0.00938492,15.31605295,-0.00938492
2021-02-23,-4.385e-05,15.31600909,-0.00942878
2021-02-24,0.0364077,15.35241679,0.0
2021-02-25,0.01720125,15.36961804,0.0
2021-02-26,0.02135834,15.39097638,0.0
2021-03-01,0.0232308,15.41420718,0.0
2021-03-02,0.0158793,15.43008648,0.0
2021-03-05,-0.00078627,15.4293002,-0.00078627
2021-03-08,-0.00193359,15.42736662,-0.00271986
2021-03-09,-0.00288966,15.42447695,-0.00560952
2021-03-10,0.01334772,15.43782468,0.0
2021-03-11,-0.00607962,15.43174505,-0.00607962
2021-03-12,0.01844826,15.45019331,0.0
2021-03-15,0.00194661,15.45213992,0.0
2021-03-16,-0.0016879,15.45045202,-0.0016879
2021-03-17,0.01853651,15.46898853,0.0
2021-03-18,-0.00250219,15.46648634,-0.00250219
2021-03-19,-0.00122737,15.46525897,-0.00372956
2021-03-22,0.00524239,15.47050136,0.0
2021-03-23,2.55e-05,15.47052686,0.0
2021-03-24,-0.011109,15.45941786,-0.011109
2021-03-25,-0.02502908,15.43438878,-0.03613808
2021-03-26,-0.0116017,15.42278708,-0.04773978
2021-03-30,0.03439029,15.45717737,-0.01334949
2021-03-31,0.0284905,15.48566787,0.0
