period,portfolio_return,cumulative_net_return,drawdown
2018-06-01,0.00779699,0.65037425,0.0
2018-06-04,0.01750188,0.66787613,0.0
2018-06-05,0.00267253,0.67054866,0.0
2018-06-06,0.00668626,0.67723491,0.0
2018-06-11,-0.01245787,0.66477704,-0.01245787
2018-06-12,-0.01291227,0.65186477,-0.02537014
2018-06-13,-0.00894259,0.64292218,-0.03431274
2018-06-14,0.00310465,0.64602683,-0.03120809
2018-06-15,0.00469774,0.65072457,-0.02651035
2018-06-18,0.00519628,0.65592084,-0.02131407
2018-06-19,3.232e-05,0.65595316,-0.02128175
2018-06-20,0.0048726,0.66082576,-0.01640915
2018-06-22,0.00058338,0.66140915,-0.01582577
2018-06-25,0.00862268,0.67003183,-0.00720309
2018-06-26,-6.034e-05,0.66997149,-0.00726343
2018-06-27,-0.00027685,0.66969464,-0.00754027
2018-06-29,-6.949e-05,0.66962515,-0.00760977
2018-07-02,-0.00460405,0.66502109,-0.01221382
2018-07-03,-0.00702308,0.65799802,-0.0192369
2018-07-05,0.00012848,0.6581265,-0.01910842
2018-07-06,-0.00018834,0.65793816,-0.01929675
2018-07-13,-0.00021015,0.65772801,-0.01950691
2018-07-17,-0.00144084,0.65628716,-0.02094775
2018-07-18,-4.266e-05,0.6562445,-0.02099041
2018-07-19,0.0002238,0.6564683,-0.02076661
2018-07-20,0.00018218,0.65665048,-0.02058443
2018-07-23,-0.0012918,0.65535869,-0.02187623
2018-07-24,-0.0314861,0.62387258,-0.05336233
2018-07-25,-0.01559345,0.60827913,-0.06895578
2018-07-26,0.03304454,0.64132368,-0.03591124
2018-07-27,-0.00915378,0.63216989,-0.04506502
2018-08-01,0.00475017,0.63692007,-0.04031485
2018-08-02,-0.03165231,0.60526776,-0.07196716
2018-08-03,0.00531846,0.61058622,-0.06664869
2018-08-06,-0.01083886,0.59974736,-0.07748755
2018-08-07,-0.04662911,0.55311826,-0.12411666
2018-08-08,-0.0108372,0.54228105,-0.13495386
2018-08-09,-0.02639928,0.51588178,-0.16135314
2018-08-10,-0.00317429,0.51270748,-0.16452743
2018-08-13,-0.01646735,0.49624014,-0.18099478
2018-08-14,-0.00368477,0.49255536,-0.18467955
2018-08-15,-0.00803696,0.4845184,-0.19271651
2018-08-17,-0.0191872,0.46533121,-0.21190371
2018-08-22,-0.00650316,0.45882805,-0.21840687
2018-08-23,-0.02882508,0.43000297,-0.24723194
2018-08-24,-0.00060469,0.42939829,-0.24783663
2018-08-27,-0.01435238,0.41504591,-0.26218901
2018-08-28,-0.01634909,0.39869682,-0.27853809
2018-08-29,-0.00730366,0.39139316,-0.28584175
2018-08-30,-0.01773188,0.37366128,-0.30357363
2018-08-31,-0.02543038,0.3482309,-0.32900401
2018-09-04,-0.0434872,0.3047437,-0.37249121
2018-09-05,-0.00510826,0.29963544,-0.37759948
2018-09-06,-0.02121994,0.2784155,-0.39881942
2018-09-07,-0.00602859,0.27238691,-0.40484801
2018-09-10,-0.01587481,0.2565121,-0.42072281
2018-09-11,-0.0181813,0.2383308,-0.43890412
2018-09-12,-0.0356447,0.20268609,-0.47454882
2018-09-13,-0.02601048,0.17667562,-0.5005593
2018-09-14,-0.03631527,0.14036034,-0.53687457
2018-09-17,-0.02057079,0.11978955,-0.55744536
2018-09-18,-0.01367695,0.1061126,-0.57112231
2018-09-19,-0.01198903,0.09412357,-0.58311134
2018-09-20,-0.02238486,0.07173871,-0.6054962
2018-09-21,-0.04270419,0.02903453,-0.64820039
2018-09-24,-0.00678413,0.02225039,-0.65498452
2018-09-25,-0.00890515,0.01334524,-0.66388967
2018-09-26,0.00137189,0.01471713,-0.66251779
2018-09-27,-0.00508628,0.00963085,-0.66760407
2018-09-28,-0.03592798,-0.02629714,-0.70353205
2018-10-01,-0.03059878,-0.05689592,-0.73413083
2018-10-02,0.00319111,-0.05370481,-0.73093973
2018-10-03,-0.0669562,-0.12066101,-0.79789592
2018-10-04,-0.01312556,-0.13378657,-0.81102148
2018-10-05,0.01957273,-0.11421383,-0.79144875
2018-10-08,0.01846905,-0.09574479,-0.7729797
2018-10-09,-0.00065185,-0.09639664,-0.77363155
2018-10-10,-0.04381545,-0.14021208,-0.817447
2018-10-11,-0.04673181,-0.1869439,-0.86417881
2018-10-12,-0.01464708,-0.20159098,-0.87882589
2018-10-15,-0.0014699,-0.20306088,-0.88029579
2018-10-16,-0.01817982,-0.2212407,-0.89847561
2018-10-17,-0.00146931,-0.22271001,-0.89994492
2018-10-18,-0.01198803,-0.23469803,-0.91193295
2018-10-19,-0.00807513,-0.24277316,-0.92000807
2018-10-22,0.01105648,-0.23171669,-0.9089516
2018-10-23,-0.00486119,-0.23657788,-0.91381279
2018-10-24,-0.06173879,-0.29831667,-0.97555158
2018-10-25,-0.01671281,-0.31502948,-0.99226439
2018-10-26,0.02898681,-0.28604267,-0.96327758
2018-10-29,0.0518253,-0.23421736,-0.91145228
2018-10-30,-0.0257387,-0.25995606,-0.93719097
2018-10-31,-0.00262011,-0.26257617,-0.93981108
2018-11-01,0.00634802,-0.25622815,-0.93346306
2018-11-02,-0.03921958,-0.29544772,-0.97268264
2018-11-05,-0.02671445,-0.32216217,-0.99939708
2018-11-06,0.00305515,-0.31910702,-0.99634194
2018-11-07,-0.00988498,-0.328992,-1.00622692
2018-11-08,-0.00239206,-0.33138406,-1.00861897
2018-11-09,0.00024146,-0.3311426,-1.00837751
2018-11-12,-0.02405319,-0.35519579,-1.03243071
2018-11-13,-0.01594586,-0.37114166,-1.04837657
2018-11-14,-0.00032957,-0.37147123,-1.04870615
2018-11-16,-0.01960208,-0.39107331,-1.06830822
2018-11-19,0.01863288,-0.37244043,-1.04967534
2018-11-20,0.00507663,-0.3673638,-1.04459871
2018-11-21,-0.00585009,-0.37321389,-1.0504488
2018-11-23,-0.01143691,-0.3846508,-1.06188571
2018-11-26,-0.00203837,-0.38668917,-1.06392409
2018-11-27,-0.00227784,-0.38896701,-1.06620193
2018-11-28,-0.01291927,-0.40188629,-1.0791212
2018-11-29,-0.00075646,-0.40264275,-1.07987766
2018-11-30,0.00178123,-0.40086152,-1.07809643
