fold,period,target_exit_config,feature_set,model_type,probability_variant,train_end,validation_start,validation_end,test_start,test_end,threshold,selected_for_test,strategy_return,buy_and_hold_return,excess_return,max_drawdown,sharpe,profit_factor,win_rate,beats_buy_and_hold,total_signals,executable_signals,symbols_with_signals,closed_trades
wf_2023,validation,patient_2x_stop_4x_tp_15d,baseline,random_forest,raw,2021-12-31,2022-01-01,2022-12-31,2023-01-01,2023-12-31,0.55,False,-0.002053185301067206,-0.44250347900204695,0.44045029370097977,-0.006560779799527539,-0.28376743771394297,0.459199278089689,0.4583333333333333,True,37,35,4,9
wf_2023,validation,patient_2x_stop_4x_tp_15d,baseline,random_forest,raw,2021-12-31,2022-01-01,2022-12-31,2023-01-01,2023-12-31,0.6,False,-0.004029543136725028,-0.44250347900204695,0.43847393586532196,-0.005959959817889726,-0.8012044679766929,0.0,0.25,True,11,9,4,5
wf_2023,validation,patient_2x_stop_4x_tp_15d,baseline,random_forest,raw,2021-12-31,2022-01-01,2022-12-31,2023-01-01,2023-12-31,0.65,False,-0.0010222996889820062,-0.44250347900204695,0.44148117931306496,-0.001022299688982009,-1.6610688379949807,0.0,0.0,True,2,1,1,1
wf_2023,validation,patient_2x_stop_4x_tp_15d,baseline,random_forest,raw,2021-12-31,2022-01-01,2022-12-31,2023-01-01,2023-12-31,0.7,False,0.0,-0.44250347900204695,0.44250347900204695,0.0,,,,True,1,0,1,0
wf_2023,validation,patient_2x_stop_4x_tp_15d,baseline,random_forest,isotonic,2021-12-31,2022-01-01,2022-12-31,2023-01-01,2023-12-31,0.15,False,0.0,-0.44250347900204695,0.44250347900204695,0.0,,,,True,0,0,0,0
wf_2023,validation,patient_2x_stop_4x_tp_15d,baseline,random_forest,isotonic,2021-12-31,2022-01-01,2022-12-31,2023-01-01,2023-12-31,0.2,False,0.0,-0.44250347900204695,0.44250347900204695,0.0,,,,True,0,0,0,0
wf_2023,validation,patient_2x_stop_4x_tp_15d,baseline,random_forest,isotonic,2021-12-31,2022-01-01,2022-12-31,2023-01-01,2023-12-31,0.25,False,0.0,-0.44250347900204695,0.44250347900204695,0.0,,,,True,0,0,0,0
wf_2023,validation,patient_2x_stop_4x_tp_15d,baseline,random_forest,isotonic,2021-12-31,2022-01-01,2022-12-31,2023-01-01,2023-12-31,0.3,False,0.0,-0.44250347900204695,0.44250347900204695,0.0,,,,True,0,0,0,0
wf_2023,validation,patient_2x_stop_4x_tp_15d,baseline,random_forest,isotonic,2021-12-31,2022-01-01,2022-12-31,2023-01-01,2023-12-31,0.35,False,0.0,-0.44250347900204695,0.44250347900204695,0.0,,,,True,0,0,0,0
wf_2023,validation,patient_2x_stop_4x_tp_15d,baseline,random_forest,isotonic,2021-12-31,2022-01-01,2022-12-31,2023-01-01,2023-12-31,0.4,False,0.0,-0.44250347900204695,0.44250347900204695,0.0,,,,True,0,0,0,0
wf_2023,validation,patient_2x_stop_4x_tp_15d,baseline,random_forest,isotonic,2021-12-31,2022-01-01,2022-12-31,2023-01-01,2023-12-31,0.45,False,0.0,-0.44250347900204695,0.44250347900204695,0.0,,,,True,0,0,0,0
wf_2023,test,default_1_5x_stop_3x_tp_10d,baseline,random_forest,raw,2021-12-31,2022-01-01,2022-12-31,2023-01-01,2023-12-31,0.45,True,0.0650450448404449,1.0141568816060988,-0.949111836765654,-0.032913550427375225,1.20815040554912,3.341689904092817,0.6294444444444445,False,787,761,10,163
wf_2024,validation,default_1_5x_stop_3x_tp_10d,baseline,random_forest,raw,2022-12-31,2023-01-01,2023-12-31,2024-01-01,2024-12-31,0.45,False,0.06537111599817447,1.0141568816060988,-0.9487857656079248,-0.03072408619991529,1.2526589937901247,2.41715231498284,0.6057771519098749,False,811,783,10,160
wf_2024,validation,default_1_5x_stop_3x_tp_10d,baseline,random_forest,raw,2022-12-31,2023-01-01,2023-12-31,2024-01-01,2024-12-31,0.5,False,0.032750569444734104,1.0141568816060988,-0.9814063121613648,-0.030024929985140846,0.6611926654989368,2.6270544450107396,0.5149428104575163,False,518,499,10,106
wf_2024,validation,default_1_5x_stop_3x_tp_10d,baseline,random_forest,raw,2022-12-31,2023-01-01,2023-12-31,2024-01-01,2024-12-31,0.55,False,0.02411002765824669,1.0141568816060988,-0.9900468539478524,-0.018003404702717107,0.7643373271981945,3.559067464828061,0.6579520697167756,False,191,184,9,51
wf_2024,validation,default_1_5x_stop_3x_tp_10d,baseline,random_forest,raw,2022-12-31,2023-01-01,2023-12-31,2024-01-01,2024-12-31,0.6,False,-0.0015114328404888073,1.0141568816060988,-1.015668314446588,-0.015936089474115556,-0.21031470151571552,0.6280671796117582,0.45,False,50,48,8,23
wf_2024,validation,default_1_5x_stop_3x_tp_10d,baseline,random_forest,raw,2022-12-31,2023-01-01,2023-12-31,2024-01-01,2024-12-31,0.65,False,0.0011298037536848714,1.0141568816060988,-1.0130270778524142,-0.0036848524826770925,0.35668064025989177,1.8581789384692564,0.8,False,23,23,2,6
wf_2024,validation,default_1_5x_stop_3x_tp_10d,baseline,random_forest,raw,2022-12-31,2023-01-01,2023-12-31,2024-01-01,2024-12-31,0.7,False,9.210770018004393e-05,1.0141568816060988,-1.014064773905919,-0.0017401410037605203,0.060889549629970535,0.0,0.5,False,4,4,2,2
wf_2024,validation,default_1_5x_stop_3x_tp_10d,baseline,random_forest,isotonic,2022-12-31,2023-01-01,2023-12-31,2024-01-01,2024-12-31,0.15,False,0.07723094472370619,1.0141568816060988,-0.9369259368823931,-0.032310400404643155,1.2985447394205631,2.331649364354944,0.6124720454983612,False,1145,1108,10,190
wf_2024,validation,default_1_5x_stop_3x_tp_10d,baseline,random_forest,isotonic,2022-12-31,2023-01-01,2023-12-31,2024-01-01,2024-12-31,0.2,False,0.07723094472370619,1.0141568816060988,-0.9369259368823931,-0.032310400404643155,1.2985447394205631,2.331649364354944,0.6124720454983612,False,1145,1108,10,190
wf_2024,validation,default_1_5x_stop_3x_tp_10d,baseline,random_forest,isotonic,2022-12-31,2023-01-01,2023-12-31,2024-01-01,2024-12-31,0.25,False,0.07930450732098422,1.0141568816060988,-0.9348523742851148,-0.0303554643361705,1.3631230221137085,2.625419386899133,0.6186691662310857,False,1077,1042,10,183
wf_2024,validation,default_1_5x_stop_3x_tp_10d,baseline,random_forest,isotonic,2022-12-31,2023-01-01,2023-12-31,2024-01-01,2024-12-31,0.3,False,0.027483153403634684,1.0141568816060988,-0.9866737282024645,-0.015777980741033825,0.9231012901309792,3.883859810644236,0.6749999999999999,False,140,133,9,40
