fold,period,feature_set,model_type,probability_variant,train_end,validation_start,validation_end,test_start,test_end,threshold,selected_for_test,strategy_return,buy_and_hold_return,excess_return,max_drawdown,sharpe,profit_factor,win_rate,beats_buy_and_hold,total_signals,executable_signals,symbols_with_signals,closed_trades
wf_2024,validation,baseline,random_forest,isotonic,2022-12-31,2023-01-01,2023-12-31,2024-01-01,2024-12-31,0.35,False,0.0,1.0141568816060988,-1.0141568816060988,0.0,,,,False,0,0,0,0
wf_2024,validation,baseline,random_forest,isotonic,2022-12-31,2023-01-01,2023-12-31,2024-01-01,2024-12-31,0.4,False,0.0,1.0141568816060988,-1.0141568816060988,0.0,,,,False,0,0,0,0
wf_2024,validation,baseline,random_forest,isotonic,2022-12-31,2023-01-01,2023-12-31,2024-01-01,2024-12-31,0.45,False,0.0,1.0141568816060988,-1.0141568816060988,0.0,,,,False,0,0,0,0
wf_2024,validation,enhanced_context,random_forest,raw,2022-12-31,2023-01-01,2023-12-31,2024-01-01,2024-12-31,0.45,False,0.07737831537841264,1.0141568816060988,-0.9367785662276864,-0.034346549345053476,1.2802016290762963,2.8373691774873393,0.5566996891996892,False,805,772,10,109
wf_2024,validation,enhanced_context,random_forest,raw,2022-12-31,2023-01-01,2023-12-31,2024-01-01,2024-12-31,0.5,False,0.044489637740070365,1.0141568816060988,-0.9696672438660288,-0.03254252757659663,0.8214504607517723,2.3614766540014065,0.5079545454545454,False,468,449,10,78
wf_2024,validation,enhanced_context,random_forest,raw,2022-12-31,2023-01-01,2023-12-31,2024-01-01,2024-12-31,0.55,False,0.034219789732518706,1.0141568816060988,-0.9799370918735806,-0.018335953252706837,0.6192892834549489,2.800392356433378,0.5314285714285714,False,209,199,10,36
wf_2024,validation,enhanced_context,random_forest,raw,2022-12-31,2023-01-01,2023-12-31,2024-01-01,2024-12-31,0.6,False,0.00028108340553269944,1.0141568816060988,-1.0138757982005664,-0.009172765764594137,0.19282245020786654,1.3162048818431724,0.525,False,59,57,5,13
wf_2024,validation,enhanced_context,random_forest,raw,2022-12-31,2023-01-01,2023-12-31,2024-01-01,2024-12-31,0.65,False,-0.0035188744116101877,1.0141568816060988,-1.0176757560177092,-0.0056402920754285765,-0.7400392152440028,0.0,0.0,False,7,7,3,3
wf_2024,validation,enhanced_context,random_forest,raw,2022-12-31,2023-01-01,2023-12-31,2024-01-01,2024-12-31,0.7,False,-0.0010426071159681596,1.0141568816060988,-1.015199488722067,-0.0010426071159681638,-1.2203321089519452,0.0,0.0,False,2,2,1,1
wf_2024,validation,enhanced_context,random_forest,isotonic,2022-12-31,2023-01-01,2023-12-31,2024-01-01,2024-12-31,0.15,False,0.08917184458792449,1.0141568816060988,-0.9249850370181749,-0.031571305363491856,1.33097730600162,3.3711557674786676,0.5672548366666014,False,1145,1108,10,124
wf_2024,validation,enhanced_context,random_forest,isotonic,2022-12-31,2023-01-01,2023-12-31,2024-01-01,2024-12-31,0.2,True,0.09121097835171679,1.0141568816060988,-0.9229459032543824,-0.03148095910599861,1.3701409477474358,3.486847571043449,0.5786864605982253,False,1106,1069,10,122
wf_2024,validation,enhanced_context,random_forest,isotonic,2022-12-31,2023-01-01,2023-12-31,2024-01-01,2024-12-31,0.25,False,0.07381234678224416,1.0141568816060988,-0.9403445348238548,-0.03412131198848935,1.2116827306450728,2.649970065948084,0.5512198912198911,False,845,812,10,109
wf_2024,validation,enhanced_context,random_forest,isotonic,2022-12-31,2023-01-01,2023-12-31,2024-01-01,2024-12-31,0.3,False,0.017068187349851608,1.0141568816060988,-0.9970886942562475,-0.012025143805619865,0.9782572962901356,2.621536134751533,0.7666666666666666,False,85,83,7,21
wf_2024,validation,enhanced_context,random_forest,isotonic,2022-12-31,2023-01-01,2023-12-31,2024-01-01,2024-12-31,0.35,False,0.016829053101621628,1.0141568816060988,-0.9973278285044774,-0.012025143805619865,0.910353805287098,2.621536134751533,0.7666666666666666,False,84,82,6,21
wf_2024,validation,enhanced_context,random_forest,isotonic,2022-12-31,2023-01-01,2023-12-31,2024-01-01,2024-12-31,0.4,False,0.0,1.0141568816060988,-1.0141568816060988,0.0,,,,False,0,0,0,0
wf_2024,validation,enhanced_context,random_forest,isotonic,2022-12-31,2023-01-01,2023-12-31,2024-01-01,2024-12-31,0.45,False,0.0,1.0141568816060988,-1.0141568816060988,0.0,,,,False,0,0,0,0
wf_2024,test,enhanced_context,random_forest,isotonic,2022-12-31,2023-01-01,2023-12-31,2024-01-01,2024-12-31,0.2,True,0.06601767184754773,0.4804665448965119,-0.4144488730489641,-0.04297467422249438,1.0012161544644427,1.951752280697184,0.5007509157509158,False,1182,1123,10,149
