fold,period,target_exit_config,feature_set,model_type,probability_variant,train_end,validation_start,validation_end,test_start,test_end,threshold,selected_for_test,strategy_return,buy_and_hold_return,excess_return,max_drawdown,sharpe,profit_factor,win_rate,beats_buy_and_hold,total_signals,executable_signals,symbols_with_signals,closed_trades
wf_2024,validation,default_1_5x_stop_3x_tp_10d,baseline,random_forest,isotonic,2022-12-31,2023-01-01,2023-12-31,2024-01-01,2024-12-31,0.15,False,0.07723094472370619,1.0141568816060988,-0.9369259368823931,-0.032310400404643155,1.2985447394205631,2.331649364354944,0.6124720454983612,False,1145,1108,10,190
wf_2024,validation,default_1_5x_stop_3x_tp_10d,baseline,random_forest,isotonic,2022-12-31,2023-01-01,2023-12-31,2024-01-01,2024-12-31,0.2,False,0.07723094472370619,1.0141568816060988,-0.9369259368823931,-0.032310400404643155,1.2985447394205631,2.331649364354944,0.6124720454983612,False,1145,1108,10,190
wf_2024,validation,default_1_5x_stop_3x_tp_10d,baseline,random_forest,isotonic,2022-12-31,2023-01-01,2023-12-31,2024-01-01,2024-12-31,0.25,True,0.07930450732098422,1.0141568816060988,-0.9348523742851148,-0.0303554643361705,1.3631230221137085,2.625419386899133,0.6186691662310857,False,1077,1042,10,183
wf_2024,validation,default_1_5x_stop_3x_tp_10d,baseline,random_forest,isotonic,2022-12-31,2023-01-01,2023-12-31,2024-01-01,2024-12-31,0.3,False,0.027483153403634684,1.0141568816060988,-0.9866737282024645,-0.015777980741033825,0.9231012901309792,3.883859810644236,0.6749999999999999,False,140,133,9,40
wf_2024,validation,default_1_5x_stop_3x_tp_10d,baseline,random_forest,isotonic,2022-12-31,2023-01-01,2023-12-31,2024-01-01,2024-12-31,0.35,False,0.0,1.0141568816060988,-1.0141568816060988,0.0,,,,False,0,0,0,0
wf_2024,validation,default_1_5x_stop_3x_tp_10d,baseline,random_forest,isotonic,2022-12-31,2023-01-01,2023-12-31,2024-01-01,2024-12-31,0.4,False,0.0,1.0141568816060988,-1.0141568816060988,0.0,,,,False,0,0,0,0
wf_2024,validation,default_1_5x_stop_3x_tp_10d,baseline,random_forest,isotonic,2022-12-31,2023-01-01,2023-12-31,2024-01-01,2024-12-31,0.45,False,0.0,1.0141568816060988,-1.0141568816060988,0.0,,,,False,0,0,0,0
wf_2024,validation,default_1_5x_stop_3x_tp_10d,baseline,hist_gradient_boosting,raw,2022-12-31,2023-01-01,2023-12-31,2024-01-01,2024-12-31,0.45,False,0.050582699125402364,1.0141568816060988,-0.9635741824806969,-0.02703643393169116,1.0177282581152105,2.5353198787290654,0.5914841354895535,False,570,554,10,123
wf_2024,validation,default_1_5x_stop_3x_tp_10d,baseline,hist_gradient_boosting,raw,2022-12-31,2023-01-01,2023-12-31,2024-01-01,2024-12-31,0.5,False,0.04247124701065395,1.0141568816060988,-0.9716856345954452,-0.023975760474927298,0.936728836644472,2.994683273943943,0.6303469079939669,False,408,396,10,93
wf_2024,validation,default_1_5x_stop_3x_tp_10d,baseline,hist_gradient_boosting,raw,2022-12-31,2023-01-01,2023-12-31,2024-01-01,2024-12-31,0.55,False,0.02369071304607365,1.0141568816060988,-0.9904661685600255,-0.02650600639045958,0.577641083692567,8.184543771119445,0.5901190476190475,False,236,232,10,71
wf_2024,validation,default_1_5x_stop_3x_tp_10d,baseline,hist_gradient_boosting,raw,2022-12-31,2023-01-01,2023-12-31,2024-01-01,2024-12-31,0.6,False,0.013111732768098678,1.0141568816060988,-1.0010451488380006,-0.02188252869296966,0.42706113610923363,2.4603161451731506,0.5531104697771364,False,125,122,9,47
wf_2024,validation,default_1_5x_stop_3x_tp_10d,baseline,hist_gradient_boosting,raw,2022-12-31,2023-01-01,2023-12-31,2024-01-01,2024-12-31,0.65,False,0.006156517257707427,1.0141568816060988,-1.0080003643483917,-0.01758719451839099,0.261980622786895,1.965974481127985,0.5861678004535147,False,60,58,7,28
wf_2024,validation,default_1_5x_stop_3x_tp_10d,baseline,hist_gradient_boosting,raw,2022-12-31,2023-01-01,2023-12-31,2024-01-01,2024-12-31,0.7,False,0.002552871468712125,1.0141568816060988,-1.011604010137387,-0.006791515968986595,0.42335738803963424,1.0785771655236474,0.5,False,27,26,6,10
wf_2024,validation,default_1_5x_stop_3x_tp_10d,baseline,hist_gradient_boosting,isotonic,2022-12-31,2023-01-01,2023-12-31,2024-01-01,2024-12-31,0.15,False,0.07723094472370619,1.0141568816060988,-0.9369259368823931,-0.032310400404643155,1.2985447394205631,2.331649364354944,0.6124720454983612,False,1145,1108,10,190
wf_2024,validation,default_1_5x_stop_3x_tp_10d,baseline,hist_gradient_boosting,isotonic,2022-12-31,2023-01-01,2023-12-31,2024-01-01,2024-12-31,0.2,False,0.07723094472370619,1.0141568816060988,-0.9369259368823931,-0.032310400404643155,1.2985447394205631,2.331649364354944,0.6124720454983612,False,1145,1108,10,190
wf_2024,validation,default_1_5x_stop_3x_tp_10d,baseline,hist_gradient_boosting,isotonic,2022-12-31,2023-01-01,2023-12-31,2024-01-01,2024-12-31,0.25,False,0.07500976542964244,1.0141568816060988,-0.9391471161764569,-0.029945979899789366,1.340531190246301,2.6961730534364228,0.6156273980577386,False,821,791,10,167
wf_2024,validation,default_1_5x_stop_3x_tp_10d,baseline,hist_gradient_boosting,isotonic,2022-12-31,2023-01-01,2023-12-31,2024-01-01,2024-12-31,0.3,False,0.0,1.0141568816060988,-1.0141568816060988,0.0,,,,False,0,0,0,0
wf_2024,validation,default_1_5x_stop_3x_tp_10d,baseline,hist_gradient_boosting,isotonic,2022-12-31,2023-01-01,2023-12-31,2024-01-01,2024-12-31,0.35,False,0.0,1.0141568816060988,-1.0141568816060988,0.0,,,,False,0,0,0,0
wf_2024,validation,default_1_5x_stop_3x_tp_10d,baseline,hist_gradient_boosting,isotonic,2022-12-31,2023-01-01,2023-12-31,2024-01-01,2024-12-31,0.4,False,0.0,1.0141568816060988,-1.0141568816060988,0.0,,,,False,0,0,0,0
wf_2024,validation,default_1_5x_stop_3x_tp_10d,baseline,hist_gradient_boosting,isotonic,2022-12-31,2023-01-01,2023-12-31,2024-01-01,2024-12-31,0.45,False,0.0,1.0141568816060988,-1.0141568816060988,0.0,,,,False,0,0,0,0
wf_2024,test,default_1_5x_stop_3x_tp_10d,baseline,random_forest,isotonic,2022-12-31,2023-01-01,2023-12-31,2024-01-01,2024-12-31,0.25,True,0.06488966792151463,0.4804665448965119,-0.41557687697499723,-0.04130047640127016,1.0363274657062267,1.751658190444455,0.535696881091618,False,1093,1036,10,193
