fold,period,target_exit_config,feature_set,model_type,probability_variant,signal_quality_config,signal_rank_column,train_end,validation_start,validation_end,test_start,test_end,threshold,selected_for_test,strategy_return,buy_and_hold_return,excess_return,max_drawdown,sharpe,profit_factor,win_rate,beats_buy_and_hold,total_signals_before_rank,rank_filtered_signals,total_signals,executable_signals,symbols_with_signals,closed_trades
wf_2023,validation,default_1_5x_stop_3x_tp_10d,baseline,random_forest,raw,top_2_daily_scanner_score,scanner_score,2021-12-31,2022-01-01,2022-12-31,2023-01-01,2023-12-31,0.45,True,-0.0025200756957715494,-0.44250347900204706,0.43998340330627544,-0.023490437837896606,-0.16782727976047257,0.738632675969369,0.4792768959435626,True,138,40,98,91,9,36
wf_2023,validation,default_1_5x_stop_3x_tp_10d,baseline,random_forest,raw,top_2_daily_scanner_score,scanner_score,2021-12-31,2022-01-01,2022-12-31,2023-01-01,2023-12-31,0.5,False,-0.00958192587870873,-0.44250347900204706,0.43292155312333824,-0.016226883527609214,-0.879446099654942,0.14036166126932106,0.1875,True,43,4,39,34,9,14
wf_2023,validation,default_1_5x_stop_3x_tp_10d,baseline,random_forest,raw,top_2_daily_scanner_score,scanner_score,2021-12-31,2022-01-01,2022-12-31,2023-01-01,2023-12-31,0.55,False,-0.005138573359835529,-0.44250347900204706,0.4373649056422114,-0.0063876061475842015,-0.9825853078047493,0.0,0.2,True,12,0,12,11,5,6
wf_2023,validation,default_1_5x_stop_3x_tp_10d,baseline,random_forest,raw,top_2_daily_scanner_score,scanner_score,2021-12-31,2022-01-01,2022-12-31,2023-01-01,2023-12-31,0.6,False,-0.0020591297520343504,-0.44250347900204706,0.44044434925001263,-0.002228599201800752,-1.2088952891438223,0.0,0.0,True,3,0,3,2,2,2
wf_2023,validation,default_1_5x_stop_3x_tp_10d,baseline,random_forest,raw,top_2_daily_scanner_score,scanner_score,2021-12-31,2022-01-01,2022-12-31,2023-01-01,2023-12-31,0.65,False,0.0,-0.44250347900204706,0.44250347900204706,0.0,,,,True,0,0,0,0,0,0
wf_2023,validation,default_1_5x_stop_3x_tp_10d,baseline,random_forest,raw,top_2_daily_scanner_score,scanner_score,2021-12-31,2022-01-01,2022-12-31,2023-01-01,2023-12-31,0.7,False,0.0,-0.44250347900204706,0.44250347900204706,0.0,,,,True,0,0,0,0,0,0
wf_2023,validation,default_1_5x_stop_3x_tp_10d,baseline,random_forest,raw,top_2_daily_quality_0_50,signal_quality_score,2021-12-31,2022-01-01,2022-12-31,2023-01-01,2023-12-31,0.45,False,-0.0041967641451115785,-0.44250347900204706,0.4383067148569354,-0.02348595329561819,-0.22286581170162417,0.6653516484484795,0.46075837742504405,True,137,40,97,90,9,36
wf_2023,validation,default_1_5x_stop_3x_tp_10d,baseline,random_forest,raw,top_2_daily_quality_0_50,signal_quality_score,2021-12-31,2022-01-01,2022-12-31,2023-01-01,2023-12-31,0.5,False,-0.00958192587870873,-0.44250347900204706,0.43292155312333824,-0.016226883527609214,-0.879446099654942,0.14036166126932106,0.1875,True,43,4,39,34,9,14
wf_2023,validation,default_1_5x_stop_3x_tp_10d,baseline,random_forest,raw,top_2_daily_quality_0_50,signal_quality_score,2021-12-31,2022-01-01,2022-12-31,2023-01-01,2023-12-31,0.55,False,-0.005138573359835529,-0.44250347900204706,0.4373649056422114,-0.0063876061475842015,-0.9825853078047493,0.0,0.2,True,12,0,12,11,5,6
wf_2023,validation,default_1_5x_stop_3x_tp_10d,baseline,random_forest,raw,top_2_daily_quality_0_50,signal_quality_score,2021-12-31,2022-01-01,2022-12-31,2023-01-01,2023-12-31,0.6,False,-0.0020591297520343504,-0.44250347900204706,0.44044434925001263,-0.002228599201800752,-1.2088952891438223,0.0,0.0,True,3,0,3,2,2,2
