symbol,event_date,is_sec8k_event,pre_window_start,pre_window_end,pre_window_days,baseline_lookback_days,pre_window_return,pre_window_abs_return,pre_window_volume_ratio,provider_query_performed,market_data_downloaded,source
ARRY,2024-06-25,False,2024-06-17,2024-06-24,5,20,-0.1112903226,0.1112903226,0.80000371,False,False,existing_sec8k_event_panel_and_existing_daily_databento_prices
ARRY,2024-06-26,False,2024-06-18,2024-06-25,5,20,-0.1583463339,0.1583463339,1.1870029,False,False,existing_sec8k_event_panel_and_existing_daily_databento_prices
ARRY,2024-06-27,False,2024-06-20,2024-06-26,5,20,-0.1508515815,0.1508515815,1.21743187,False,False,existing_sec8k_event_panel_and_existing_daily_databento_prices
ARRY,2024-06-28,False,2024-06-21,2024-06-27,5,20,-0.0625550661,0.0625550661,1.23147846,False,False,existing_sec8k_event_panel_and_existing_daily_databento_prices
ARRY,2024-07-01,False,2024-06-24,2024-06-28,5,20,-0.058076225,0.058076225,1.23147846,False,False,existing_sec8k_event_panel_and_existing_daily_databento_prices
ARRY,2024-07-02,False,2024-06-25,2024-07-01,5,20,-0.1056533828,0.1056533828,1.23147846,False,False,existing_sec8k_event_panel_and_existing_daily_databento_prices
ARRY,2024-07-03,False,2024-06-26,2024-07-02,5,20,-0.0678127985,0.0678127985,1.45479651,False,False,existing_sec8k_event_panel_and_existing_daily_databento_prices
ARRY,2024-07-05,False,2024-06-27,2024-07-03,5,20,-0.0526315789,0.0526315789,1.45479651,False,False,existing_sec8k_event_panel_and_existing_daily_databento_prices
ARRY,2024-07-08,False,2024-06-28,2024-07-05,5,20,-0.0751445087,0.0751445087,1.43820269,False,False,existing_sec8k_event_panel_and_existing_daily_databento_prices
ARRY,2024-07-09,False,2024-07-01,2024-07-08,5,20,0.0051813472,0.0051813472,0.96200543,False,False,existing_sec8k_event_panel_and_existing_daily_databento_prices
ARRY,2024-07-10,False,2024-07-02,2024-07-09,5,20,-0.0327868852,0.0327868852,0.96200543,False,False,existing_sec8k_event_panel_and_existing_daily_databento_prices
ARRY,2024-07-11,False,2024-07-03,2024-07-10,5,20,-0.0218253968,0.0218253968,0.87359103,False,False,existing_sec8k_event_panel_and_existing_daily_databento_prices
ARRY,2024-07-12,False,2024-07-05,2024-07-11,5,20,0.121875,0.121875,1.10235878,False,False,existing_sec8k_event_panel_and_existing_daily_databento_prices
ARRY,2024-07-15,False,2024-07-08,2024-07-12,5,20,0.2195876289,0.2195876289,1.12771241,False,False,existing_sec8k_event_panel_and_existing_daily_databento_prices
ARRY,2024-07-16,False,2024-07-09,2024-07-15,5,20,0.1790254237,0.1790254237,1.29586142,False,False,existing_sec8k_event_panel_and_existing_daily_databento_prices
ARRY,2024-07-17,False,2024-07-10,2024-07-16,5,20,0.1896551724,0.1896551724,1.41622374,False,False,existing_sec8k_event_panel_and_existing_daily_databento_prices
ARRY,2024-07-18,False,2024-07-11,2024-07-17,5,20,0.0399257196,0.0399257196,1.36018285,False,False,existing_sec8k_event_panel_and_existing_daily_databento_prices
ARRY,2024-07-19,False,2024-07-12,2024-07-18,5,20,-0.0921386306,0.0921386306,1.36018285,False,False,existing_sec8k_event_panel_and_existing_daily_databento_prices
ARRY,2024-07-22,False,2024-07-15,2024-07-19,5,20,-0.0673854447,0.0673854447,0.893276,False,False,existing_sec8k_event_panel_and_existing_daily_databento_prices
ARRY,2024-07-23,False,2024-07-16,2024-07-22,5,20,-0.0750213129,0.0750213129,0.893276,False,False,existing_sec8k_event_panel_and_existing_daily_databento_prices
ARRY,2024-07-24,False,2024-07-17,2024-07-23,5,20,-0.0089285714,0.0089285714,0.83972566,False,False,existing_sec8k_event_panel_and_existing_daily_databento_prices
ARRY,2024-07-25,False,2024-07-18,2024-07-24,5,20,0.0335195531,0.0335195531,0.83972566,False,False,existing_sec8k_event_panel_and_existing_daily_databento_prices
ARRY,2024-07-26,False,2024-07-19,2024-07-25,5,20,0.0751445087,0.0751445087,0.75589837,False,False,existing_sec8k_event_panel_and_existing_daily_databento_prices
ARRY,2024-07-29,False,2024-07-22,2024-07-26,5,20,0.0341013825,0.0341013825,0.77250485,False,False,existing_sec8k_event_panel_and_existing_daily_databento_prices
