status,symbol,cik,accessionNumber,filingDate,acceptanceDateTime,classification,reaction_session_date,items,event_source,raw_payload_retained,error
event,CABA,0001759138,0001193125-24-196467,2024-08-08,2024-08-08T11:07:58.000Z,BMO,2024-08-08,"2.02,7.01,9.01",SEC_EDGAR_8K_ITEM_2_02,False,
event,CABA,0001759138,0001193125-24-138874,2024-05-15,2024-05-15T11:04:38.000Z,BMO,2024-05-15,"2.02,7.01,9.01",SEC_EDGAR_8K_ITEM_2_02,False,
event,CABA,0001759138,0001193125-24-073294,2024-03-21,2024-03-21T11:12:59.000Z,BMO,2024-03-21,"2.02,9.01",SEC_EDGAR_8K_ITEM_2_02,False,
event,CABA,0001759138,0001193125-24-003872,2024-01-08,2024-01-08T12:11:35.000Z,BMO,2024-01-08,"2.02,7.01,8.01,9.01",SEC_EDGAR_8K_ITEM_2_02,False,
event,CABA,0001759138,0001193125-23-274053,2023-11-09,2023-11-09T12:12:02.000Z,BMO,2023-11-09,"2.02,7.01,9.01",SEC_EDGAR_8K_ITEM_2_02,False,
event,CABA,0001759138,0001193125-23-208095,2023-08-10,2023-08-10T11:16:52.000Z,BMO,2023-08-10,"2.02,9.01",SEC_EDGAR_8K_ITEM_2_02,False,
event,CABA,0001759138,0001193125-23-141371,2023-05-11,2023-05-11T11:05:06.000Z,BMO,2023-05-11,"2.02,9.01",SEC_EDGAR_8K_ITEM_2_02,False,
event,CABA,0001759138,0001193125-23-071942,2023-03-16,2023-03-16T11:10:35.000Z,BMO,2023-03-16,"2.02,7.01,9.01",SEC_EDGAR_8K_ITEM_2_02,False,
event,CABA,0001759138,0001193125-22-281920,2022-11-10,2022-11-10T12:08:10.000Z,BMO,2022-11-10,"2.02,7.01,9.01",SEC_EDGAR_8K_ITEM_2_02,False,
event,CABA,0001759138,0001193125-22-217960,2022-08-11,2022-08-11T11:13:46.000Z,BMO,2022-08-11,"2.02,7.01,9.01",SEC_EDGAR_8K_ITEM_2_02,False,
event,CABA,0001759138,0001193125-22-148046,2022-05-12,2022-05-12T11:07:03.000Z,BMO,2022-05-12,"2.02,9.01",SEC_EDGAR_8K_ITEM_2_02,False,
event,CABA,0001759138,0001193125-22-077793,2022-03-17,2022-03-17T11:11:42.000Z,BMO,2022-03-17,"2.02,7.01,9.01",SEC_EDGAR_8K_ITEM_2_02,False,
event,CABA,0001759138,0001193125-21-314433,2021-11-01,2021-11-01T11:10:21.000Z,BMO,2021-11-01,"2.02,7.01,8.01,9.01",SEC_EDGAR_8K_ITEM_2_02,False,
event,CABA,0001759138,0001193125-21-237002,2021-08-05,2021-08-05T11:41:09.000Z,BMO,2021-08-05,"2.02,7.01,9.01",SEC_EDGAR_8K_ITEM_2_02,False,
event,CABA,0001759138,0001193125-21-146616,2021-05-03,2021-05-03T11:10:48.000Z,BMO,2021-05-03,"2.02,7.01,8.01,9.01",SEC_EDGAR_8K_ITEM_2_02,False,
event,CABA,0001759138,0001193125-21-082134,2021-03-16,2021-03-16T11:38:51.000Z,BMO,2021-03-16,"2.02,9.01",SEC_EDGAR_8K_ITEM_2_02,False,
event,CABA,0001759138,0001193125-20-289674,2020-11-10,2020-11-10T13:07:59.000Z,BMO,2020-11-10,"2.02,9.01",SEC_EDGAR_8K_ITEM_2_02,False,
event,CABA,0001759138,0001193125-20-211336,2020-08-06,2020-08-06T11:35:28.000Z,BMO,2020-08-06,"2.02,9.01",SEC_EDGAR_8K_ITEM_2_02,False,
event,CABA,0001759138,0001193125-20-139782,2020-05-12,2020-05-12T11:20:58.000Z,BMO,2020-05-12,"2.02,9.01",SEC_EDGAR_8K_ITEM_2_02,False,
event,CABA,0001759138,0001193125-20-090013,2020-03-30,2020-03-30T11:44:57.000Z,BMO,2020-03-30,"2.02,9.01",SEC_EDGAR_8K_ITEM_2_02,False,
event,CRMD,0001410098,0001410098-26-000020,2026-05-14,2026-05-14T11:34:46.000Z,BMO,2026-05-14,"2.02,9.01",SEC_EDGAR_8K_ITEM_2_02,False,
event,CRMD,0001410098,0001213900-26-023881,2026-03-05,2026-03-05T12:47:46.000Z,BMO,2026-03-05,"2.02,9.01",SEC_EDGAR_8K_ITEM_2_02,False,
event,CRMD,0001410098,0001213900-26-002350,2026-01-08,2026-01-08T13:15:51.000Z,BMO,2026-01-08,"2.02,5.02,8.01,9.01",SEC_EDGAR_8K_ITEM_2_02,False,
event,CRMD,0001410098,0001213900-25-108716,2025-11-12,2025-11-12T12:42:23.000Z,BMO,2025-11-12,"2.02,9.01",SEC_EDGAR_8K_ITEM_2_02,False,
event,CRMD,0001410098,0001213900-25-100156,2025-10-20,2025-10-20T12:10:42.000Z,BMO,2025-10-20,"2.02,9.01",SEC_EDGAR_8K_ITEM_2_02,False,
event,CRMD,0001410098,0001213900-25-072814,2025-08-07,2025-08-07T11:31:26.000Z,BMO,2025-08-07,"1.01,2.02,3.02,7.01,8.01,9.01",SEC_EDGAR_8K_ITEM_2_02,False,
event,CRMD,0001410098,0001213900-25-039903,2025-05-06,2025-05-06T11:45:34.000Z,BMO,2025-05-06,"2.02,9.01",SEC_EDGAR_8K_ITEM_2_02,False,
event,CRMD,0001410098,0001213900-25-029629,2025-04-08,2025-04-08T12:00:39.000Z,BMO,2025-04-08,"2.02,9.01",SEC_EDGAR_8K_ITEM_2_02,False,
event,CRMD,0001410098,0001013762-25-001844,2025-03-25,2025-03-25T12:00:49.000Z,BMO,2025-03-25,"2.02,9.01",SEC_EDGAR_8K_ITEM_2_02,False,
event,CRMD,0001410098,0001213900-25-001392,2025-01-07,2025-01-07T13:00:07.000Z,BMO,2025-01-07,"2.02,9.01",SEC_EDGAR_8K_ITEM_2_02,False,
event,CRMD,0001410098,0001213900-24-091959,2024-10-30,2024-10-30T12:00:19.000Z,BMO,2024-10-30,"2.02,9.01",SEC_EDGAR_8K_ITEM_2_02,False,
event,CRMD,0001410098,0001213900-24-068589,2024-08-14,2024-08-14T12:00:13.000Z,BMO,2024-08-14,"2.02,9.01",SEC_EDGAR_8K_ITEM_2_02,False,
event,CRMD,0001410098,0001213900-24-041026,2024-05-09,2024-05-09T11:40:17.000Z,BMO,2024-05-09,"2.02,9.01",SEC_EDGAR_8K_ITEM_2_02,False,
event,CRMD,0001410098,0001213900-24-021573,2024-03-12,2024-03-12T11:35:30.000Z,BMO,2024-03-12,"2.02,9.01",SEC_EDGAR_8K_ITEM_2_02,False,
event,CRMD,0001410098,0001213900-23-086937,2023-11-14,2023-11-14T21:10:46.000Z,AMC,2023-11-15,"2.02,9.01",SEC_EDGAR_8K_ITEM_2_02,False,
event,CRMD,0001410098,0001213900-23-064241,2023-08-08,2023-08-08T11:45:23.000Z,BMO,2023-08-08,"2.02,9.01",SEC_EDGAR_8K_ITEM_2_02,False,
