symbol,sleeve,signal_date,entry_date,exit_date,entry_price,exit_price,score,gross_return,cost_return,net_return,per_trade_weight,weighted_net_return,forced_end_of_history_exit,provider_query_performed,split,regime_label,universe_status,is_delisted
AAOI,mean_reversion_5d,2025-01-07,2025-01-08,2025-01-24,32.7,30.69,-0.0899558498896249,-0.0614678899082569,0.05,-0.1114678899082569,0.1,-0.0111467889908256,False,False,is,RISK_OFF,active,False
AAPX,mean_reversion_5d,2025-01-07,2025-01-08,2025-01-24,29.832087,25.073654,-0.0832316571275786,-0.159507211144832,0.05,-0.209507211144832,0.1,-0.0209507211144832,False,False,is,RISK_OFF,active,False
AAPB,mean_reversion_5d,2025-01-07,2025-01-08,2025-01-24,30.180614,25.378935,-0.0794393147057846,-0.1590981217280735,0.05,-0.2090981217280735,0.1,-0.0209098121728073,False,False,is,RISK_OFF,active,False
CMRX-202504,momentum_60d,2025-02-06,2025-02-07,2025-03-10,4.14,8.46,3.405945888140306,1.0434782608695654,0.05,0.9934782608695654,0.1,0.0993478260869565,False,False,is,RANGE_HIGH_VOL,delisted,True
ACHR,momentum_60d,2025-02-06,2025-02-07,2025-03-10,9.2,6.8,1.6142857142857143,-0.2608695652173912,0.05,-0.3108695652173912,0.1,-0.0310869565217391,False,False,is,RANGE_HIGH_VOL,active,False
ACCD-202504,momentum_60d,2025-02-06,2025-02-07,2025-03-10,6.88,6.96,0.9325842696629212,0.0116279069767442,0.05,-0.0383720930232557,0.1,-0.0038372093023255,False,False,is,RANGE_HIGH_VOL,delisted,True
AAOI,momentum_60d,2025-02-06,2025-02-07,2025-03-10,30.55,14.15,0.6972067039106147,-0.5368248772504092,0.05,-0.5868248772504092,0.1,-0.0586824877250409,False,False,is,RANGE_HIGH_VOL,active,False
ACH,mean_reversion_5d,2025-02-06,2025-02-07,2025-02-24,8.61,6.39,-0.4075342465753424,-0.2578397212543554,0.05,-0.3078397212543554,0.1,-0.0307839721254355,False,False,is,RANGE_HIGH_VOL,active,False
ACON,mean_reversion_5d,2025-02-06,2025-02-07,2025-02-24,166.31999,125.81999,-0.2535713956601145,-0.2435065081473368,0.05,-0.2935065081473368,0.1,-0.0293506508147336,False,False,is,RANGE_HIGH_VOL,active,False
AKYA-202507,mean_reversion_5d,2025-02-06,2025-02-07,2025-02-24,2.5,1.82,-0.1605351170568563,-0.272,0.05,-0.322,0.1,-0.0322,False,False,is,RANGE_HIGH_VOL,delisted,True
AZULQ-202601,mean_reversion_5d,2025-02-06,2025-02-07,2025-02-24,2.0,1.85,-0.1604938271604938,-0.0749999999999999,0.05,-0.1249999999999999,0.1,-0.0124999999999999,False,False,is,RANGE_HIGH_VOL,delisted,True
BTFX-202512,mean_reversion_5d,2025-02-06,2025-02-07,2025-02-24,53.66,47.06,-0.1565557404326123,-0.1229966455460305,0.05,-0.1729966455460305,0.1,-0.017299664554603,False,False,is,RANGE_HIGH_VOL,delisted,True
